,positive_bert,negative_bert,neutral_bert
0,0.22552355,0.09361122,0.6808652
1,0.22552355,0.09361122,0.6808652
2,0.22552355,0.09361122,0.6808652
3,0.940946,0.0033064978,0.05574748
4,0.9145124,0.011219466,0.07426812
5,0.22552355,0.09361122,0.6808652
6,0.49152416,0.015154535,0.49332136
7,0.3249071,0.098100714,0.5769922
8,0.34164146,0.05590951,0.60244906
9,0.26152518,0.17272578,0.565749
10,0.2594465,0.054109268,0.6864442
11,0.2957343,0.05733191,0.6469338
12,0.9522168,0.013281338,0.034501914
13,0.089077346,0.4963378,0.4145849
14,0.41601217,0.034251433,0.5497364
15,0.399355,0.10535405,0.49529094
16,0.3892435,0.043102372,0.56765413
17,0.417184,0.11042388,0.47239208
18,0.417184,0.11042388,0.47239208
19,0.417184,0.11042388,0.47239208
20,0.37361288,0.059743565,0.5666436
21,0.431969,0.011993235,0.5560378
22,0.9013816,0.012099434,0.08651895
23,0.39677933,0.09396783,0.50925285
24,0.19161321,0.040688977,0.7676978
25,0.96422,0.0022028927,0.033577107
26,0.18984285,0.14397469,0.66618246
27,0.2865917,0.008360186,0.7050481
28,0.09206479,0.026187217,0.88174796
29,0.056252692,0.035701666,0.9080457
30,0.054559167,0.35093093,0.5945099
31,0.411784,0.10353717,0.48467883
32,0.3463843,0.088578664,0.565037
33,0.013934436,0.9167049,0.0693606
34,0.04323558,0.6140094,0.34275508
35,0.21019505,0.24482507,0.5449799
36,0.13198015,0.37450802,0.49351186
37,0.007677402,0.89249796,0.09982461
38,0.029970082,0.61957186,0.35045806
39,0.18984285,0.14397469,0.66618246
40,0.14446689,0.30690208,0.54863095
41,0.47495228,0.056484766,0.46856296
42,0.032658663,0.64714843,0.3201929
43,0.038377315,0.31275544,0.64886725
44,0.015708787,0.697282,0.2870092
45,0.1683646,0.030530551,0.8011048
46,0.04319458,0.14496596,0.81183946
47,0.411784,0.10353717,0.48467883
48,0.2861267,0.03164411,0.6822292
49,0.14777718,0.029346421,0.82287633
50,0.1275407,0.20541206,0.66704726
51,0.12671065,0.027782649,0.84550667
52,0.08444768,0.14504111,0.7705112
53,0.24819794,0.12480009,0.627002
54,0.043473866,0.10028764,0.8562385
55,0.060807895,0.4594201,0.47977194
56,0.913734,0.010339762,0.07592624
57,0.06613654,0.029724298,0.9041392
58,0.045409627,0.03524305,0.91934735
59,0.04606106,0.037423834,0.9165151
60,0.27540773,0.030789355,0.69380283
61,0.23891757,0.06198905,0.69909334
62,0.009126023,0.924084,0.06678999
63,0.010934358,0.8827747,0.10629098
64,0.05702435,0.5527066,0.390269
65,0.066645876,0.03766787,0.89568627
66,0.3407876,0.05732677,0.6018857
67,0.12707597,0.009986511,0.86293745
68,0.20803761,0.068107456,0.723855
69,0.4552956,0.08952968,0.45517468
70,0.4552956,0.08952968,0.45517468
71,0.4552956,0.08952968,0.45517468
72,0.96003485,0.0054422435,0.034522925
73,0.4110706,0.1340316,0.45489788
74,0.0784003,0.06138778,0.86021197
75,0.029944723,0.3525368,0.6175184
76,0.13376397,0.48062822,0.38560775
77,0.015039915,0.7494488,0.23551133
78,0.09030709,0.095524535,0.8141684
79,0.04159758,0.661151,0.29725146
80,0.10960193,0.12904012,0.76135796
81,0.03355123,0.59816724,0.36828154
82,0.62147593,0.017620703,0.36090338
83,0.07815724,0.25798407,0.6638587
84,0.13511807,0.07758393,0.78729796
85,0.34993318,0.017412312,0.6326544
86,0.067177854,0.079692535,0.8531296
87,0.121779226,0.042563673,0.83565706
88,0.084927306,0.029945087,0.88512766
89,0.403609,0.0818045,0.5145865
90,0.22889534,0.22874632,0.54235834
91,0.403609,0.0818045,0.5145865
92,0.05970922,0.035227437,0.9050633
93,0.04522781,0.36217925,0.592593
94,0.16544275,0.10552729,0.72902995
95,0.13430303,0.44163567,0.42406127
96,0.1180177,0.06069905,0.8212832
97,0.13187368,0.24997047,0.61815584
98,0.38808352,0.04232794,0.56958854
99,0.019264136,0.75141805,0.22931786
100,0.5546001,0.014261801,0.43113807
101,0.5197348,0.030084495,0.4501807
102,0.11891994,0.29414222,0.5869378
103,0.8578271,0.012765055,0.12940782
104,0.018167771,0.6293628,0.35246947
105,0.017162228,0.539597,0.4432408
106,0.13977088,0.041468233,0.8187609
107,0.27300745,0.06969726,0.6572953
108,0.39677933,0.09396783,0.50925285
109,0.411784,0.10353717,0.48467883
110,0.411784,0.10353717,0.48467883
111,0.411784,0.10353717,0.48467883
112,0.411784,0.10353717,0.48467883
113,0.2458939,0.083124705,0.6709814
114,0.3986572,0.102030806,0.49931198
115,0.9355954,0.012909405,0.051495276
116,0.12731919,0.08344265,0.7892382
117,0.14745615,0.024773363,0.8277705
118,0.13275239,0.057993058,0.8092545
119,0.04214796,0.34168664,0.61616546
120,0.41598874,0.102929294,0.48108196
121,0.038193665,0.42504248,0.53676385
122,0.4172317,0.25968316,0.3230851
123,0.9532548,0.007772251,0.038972937
124,0.7875341,0.039234627,0.17323121
125,0.76294947,0.009782749,0.22726782
126,0.79602766,0.019952457,0.18401988
127,0.970851,0.006532805,0.02261617
128,0.36410385,0.065588266,0.5703079
129,0.9480799,0.004622712,0.04729745
130,0.0392061,0.59984064,0.3609532
131,0.023964629,0.76763886,0.2083965
132,0.45580056,0.072838895,0.47136056
133,0.19309054,0.018698163,0.7882113
134,0.7580621,0.01769418,0.22424369
135,0.20649958,0.23409799,0.5594024
136,0.15929772,0.04470797,0.79599434
137,0.14446689,0.30690208,0.54863095
138,0.411784,0.10353717,0.48467883
139,0.36444902,0.101047896,0.5345031
140,0.9696656,0.005047604,0.02528677
141,0.46273783,0.027712042,0.5095501
142,0.0984069,0.2689944,0.6325987
143,0.33796558,0.030033205,0.6320012
144,0.58596224,0.0073637883,0.40667403
145,0.40779716,0.08444221,0.50776064
146,0.9624398,0.004939221,0.032620955
147,0.41598874,0.102929294,0.48108196
148,0.017053157,0.7922569,0.1906899
149,0.010991157,0.7862093,0.20279953
150,0.910749,0.013586035,0.07566489
151,0.89864016,0.011303614,0.0900562
152,0.10480106,0.14805406,0.7471449
153,0.0345231,0.4462676,0.51920927
154,0.12986109,0.114792235,0.7553467
155,0.16380501,0.08102227,0.75517267
156,0.11926174,0.13778694,0.74295133
157,0.021725375,0.7325811,0.24569356
158,0.030224873,0.018176345,0.9515987
159,0.92636955,0.0048466246,0.06878386
160,0.20101444,0.20797773,0.5910079
161,0.20101444,0.20797773,0.5910079
162,0.4800682,0.10225532,0.41767654
163,0.20101444,0.20797773,0.5910079
164,0.009080976,0.91389513,0.07702388
165,0.05312026,0.17588212,0.77099764
166,0.011882062,0.712553,0.27556497
167,0.30084887,0.041503362,0.6576478
168,0.18984285,0.14397469,0.66618246
169,0.28541628,0.020746872,0.6938368
170,0.17565922,0.065412216,0.75892854
171,0.018552719,0.7077253,0.27372196
172,0.76126295,0.009165501,0.2295715
