conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
3,5e9de4e29dc0406f89872254,89,439,7,4,"['5e9de5be9dc0406f8987226c' '5e9de4c49dc0406f8987224f'
 '5e8b6f06b35db8283c501ca6' '5e84cc1450f6e364321d6260']"
3,5e9de5be9dc0406f8987226c,159,789,17,8,"['5e9de4e29dc0406f89872254' '5e9de4c49dc0406f8987224f'
 '5e8b6f06b35db8283c501ca6' '5e84cc1450f6e364321d6260']"
3,5e9de4c49dc0406f8987224f,86,468,9,2,"['5e9de4e29dc0406f89872254' '5e9de5be9dc0406f8987226c'
 '5e8b6f06b35db8283c501ca6' '5e84cc1450f6e364321d6260']"
3,5e8b6f06b35db8283c501ca6,74,415,6,5,"['5e9de4e29dc0406f89872254' '5e9de5be9dc0406f8987226c'
 '5e9de4c49dc0406f8987224f' '5e84cc1450f6e364321d6260']"
3,5e84cc1450f6e364321d6260,25,122,3,0,"['5e9de4e29dc0406f89872254' '5e9de5be9dc0406f8987226c'
 '5e9de4c49dc0406f8987224f' '5e8b6f06b35db8283c501ca6']"
4,5e9de67c9dc0406f898722c3,140,714,11,15,"['5e31d69ee31c5304c46f13ef' '5e9de6b89dc0406f898722c6'
 '5e877eb4a44a3116d9b95f15' '5e8b395036ec0e1294b35f15']"
4,5e31d69ee31c5304c46f13ef,103,543,9,8,"['5e9de67c9dc0406f898722c3' '5e9de6b89dc0406f898722c6'
 '5e877eb4a44a3116d9b95f15' '5e8b395036ec0e1294b35f15']"
4,5e9de6b89dc0406f898722c6,123,596,9,17,"['5e9de67c9dc0406f898722c3' '5e31d69ee31c5304c46f13ef'
 '5e877eb4a44a3116d9b95f15' '5e8b395036ec0e1294b35f15']"
4,5e877eb4a44a3116d9b95f15,183,934,9,18,"['5e9de67c9dc0406f898722c3' '5e31d69ee31c5304c46f13ef'
 '5e9de6b89dc0406f898722c6' '5e8b395036ec0e1294b35f15']"
4,5e8b395036ec0e1294b35f15,112,598,10,18,"['5e9de67c9dc0406f898722c3' '5e31d69ee31c5304c46f13ef'
 '5e9de6b89dc0406f898722c6' '5e877eb4a44a3116d9b95f15']"
5,5e9de6b89dc0406f898722c6,122,607,4,22,"['5e8b395036ec0e1294b35f15' '5e9de67c9dc0406f898722c3'
 '5e877eb4a44a3116d9b95f15' '5e31d69ee31c5304c46f13ef']"
5,5e8b395036ec0e1294b35f15,182,880,14,30,"['5e9de6b89dc0406f898722c6' '5e9de67c9dc0406f898722c3'
 '5e877eb4a44a3116d9b95f15' '5e31d69ee31c5304c46f13ef']"
5,5e9de67c9dc0406f898722c3,114,580,9,9,"['5e9de6b89dc0406f898722c6' '5e8b395036ec0e1294b35f15'
 '5e877eb4a44a3116d9b95f15' '5e31d69ee31c5304c46f13ef']"
5,5e877eb4a44a3116d9b95f15,192,963,9,12,"['5e9de6b89dc0406f898722c6' '5e8b395036ec0e1294b35f15'
 '5e9de67c9dc0406f898722c3' '5e31d69ee31c5304c46f13ef']"
5,5e31d69ee31c5304c46f13ef,166,842,12,23,"['5e9de6b89dc0406f898722c6' '5e8b395036ec0e1294b35f15'
 '5e9de67c9dc0406f898722c3' '5e877eb4a44a3116d9b95f15']"
6,5e9dea789dc0406f89872547,40,215,6,4,"['5e9de4ec9dc0406f89872255' '5e9de4ce9dc0406f89872251'
 '5e84cfe850f6e364321d63bf' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dec4e9dc0406f898726cd']"
6,5e9de4ec9dc0406f89872255,67,352,10,3,"['5e9dea789dc0406f89872547' '5e9de4ce9dc0406f89872251'
 '5e84cfe850f6e364321d63bf' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dec4e9dc0406f898726cd']"
6,5e9de4ce9dc0406f89872251,46,211,10,5,"['5e9dea789dc0406f89872547' '5e9de4ec9dc0406f89872255'
 '5e84cfe850f6e364321d63bf' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dec4e9dc0406f898726cd']"
6,5e84cfe850f6e364321d63bf,52,242,13,4,"['5e9dea789dc0406f89872547' '5e9de4ec9dc0406f89872255'
 '5e9de4ce9dc0406f89872251' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dec4e9dc0406f898726cd']"
