,model,model_type,features_included,alpha,q_squared
10,Lasso(alpha=0.03382369933338011),Lasso,All Features,0.0338,0.40998222807959916
8,Lasso(alpha=0.029114852513302137),Lasso,Task Complexity + Communication,0.0291,0.3136977748819021
6,Lasso(alpha=0.06735208088879183),Lasso,Communication,0.0674,0.2668933533175649
5,Lasso(alpha=0.015550416663071802),Lasso,Team Composition + Task Complexity,0.0156,0.052585652894408974
4,Ridge(alpha=0.015550416663071802),Ridge,Team Composition + Task Complexity,0.0156,0.051298954249736406
2,Ridge(alpha=0.00010657047577874697),Ridge,Task Complexity,0.0001,0.04076333081090544
3,Lasso(alpha=0.00010657047577874697),Lasso,Task Complexity,0.0001,0.040763286853753855
1,Lasso(alpha=0.025784813370477756),Lasso,Team Composition,0.0258,0.01870555274246466
0,Ridge(alpha=0.025784813370477756),Ridge,Team Composition,0.0258,0.010175094315731048
7,Ridge(alpha=0.06735208088879183),Ridge,Communication,0.0674,-3.691705787167643
9,Ridge(alpha=0.029114852513302137),Ridge,Task Complexity + Communication,0.0291,-5.0447128455922865
11,Ridge(alpha=0.03382369933338011),Ridge,All Features,0.0338,-7.259208636465752
