function_words
able
am
are
aren’t
be
been
being
can
can’t
cannot
could
couldn’t
did
didn’t
do
don’t
get
got
gotta
had
hadn’t
hasn’t
have
haven’t
is
isn’t
may
should
should’ve
shouldn’t
was
were
will
won’t
would
would’ve
wouldn’t
although
and
as
because
’cause
but
if
or
so
then
unless
whereas
while

a
an
each
every
all
lot
lots
the
this
those
anybody
anything
anywhere
everybody’s
everyone
everything
everything’s
everywhere
he
he’d
he’s
her
him
himself
herself
his
I
I’d
I’ll
I’m
I’ve
it
it’d
it’ll
it’s
its
itself
me
my
mine
myself
nobody
nothing
nowhere
one
one’s
ones
our
ours
she
she’ll
she’s
she’d
somebody
someone
someplace
that
that’d
that’ll
that’s
them
themselves
these
they
they’d
they’ll
they’re
they’ve
us
we
we’d
we’ll
we’re
we’ve
what
what’d
what’s
whatever
when
where
where’d
where’s
wherever
which
who
who’s
whom
whose
why
you
you’d
you’ll
you’re
you’ve
your
yours
yourself
about
after
against
at
before
by
down
for
from
in
into
near
of
off
on
out
over
than
to
until
up
with
without
ah
hi
huh
like
mm-hmm
oh
okay
right
uh
uh-huh
um
well
yeah
yup
just
no
not
really
too
very
