conversation_num,treatmentName,punishmentCost,punishmentMagnitude,total_costs,total_penalties,total_rewards,multiplier,punishmentExists,rewardExists,playerCount,numRounds,message,timestamp,speaker_nickname,score
MnarujjeewXn9m7sz,4_T,3.0,9.0,1419,27,4230,5.6,True,True,6,15,,0,NULL_SPEAKER,1.2586309523809525
u5ha44udM2BMXBZnj,1_C,2.0,4.0,3280,0,6560,4.6,False,True,6,35,,0,NULL_SPEAKER,1.1433747412008282
gSojrSFyc4ASdFmCt,8_C,2.0,7.0,0,0,0,1.0,False,False,3,10,,0,NULL_SPEAKER,1.0033333333333334
vEWvuFNWzMJuyGdrH,0_T,3.0,9.0,0,0,0,1.3,True,False,2,20,"Nice, If we contribute all of our coins each time, we will get the most payout.",1677262097074,L5Sy83kBiyXoDhg6D,1.0
vEWvuFNWzMJuyGdrH,0_T,3.0,9.0,0,0,0,1.3,True,False,2,20,Sounds good.,1677262112288,zn7zNZvgQjhN4Qsty,1.0
CgLiTN2jqAdKetEW4,3_T,4.0,13.0,4,13,0,4.0,True,False,4,45,,0,NULL_SPEAKER,0.9967361111111112
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,lets maximize bonus by adding 20 each round,1677262432045,hu6NsCTMTZjCaYn7W,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,Agreed,1677262447560,6ujvPbtmpp5Rk4Yn4,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,I agree.,1677262355673,LiP2Tz788dPrJL9X7,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,agree,1677262456043,33AmrszcNBofe6kQK,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,im 20 all day,1677262468089,hu6NsCTMTZjCaYn7W,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,come on moose,1677262475200,hu6NsCTMTZjCaYn7W,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,thank you very much,1677262612240,hu6NsCTMTZjCaYn7W,0.9930875576036866
Rvu6PirXKhM3e2QNy,9_T,3.0,4.0,15,20,0,6.2,True,True,7,45,sorry,1677262886144,33AmrszcNBofe6kQK,0.9930875576036866
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,hey hey,1677262156018,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,yo,1677262158730,YWAy95YfuHXsKtQzf,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,hey gang,1677262160086,DXnnTAjxLe6pEwPsA,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,hi,1677262165918,GpbjDzxJS2opK8F8r,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,hi,1677262169954,zs4ePmS88BJhQ2MKH,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,hi,1677262164636,xnMSaWX3DHBEwTFEx,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,hey,1677262176743,wjwKAzezsvKEKzoZC,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,lets all submit max so we get the max payout,1677262187832,wjwKAzezsvKEKzoZC,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,"If everybody's generous, we all get paid more, no reason not to go all in :D",1677262197051,DXnnTAjxLe6pEwPsA,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,exactly,1677262204077,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,so do 20 lol,1677262212369,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,im going all in the first few rounds if everyone follows it will be great,1677262214235,YWAy95YfuHXsKtQzf,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,me too,1677262213881,wjwKAzezsvKEKzoZC,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,I will do 20 this round and see if others do as well,1677262222200,zs4ePmS88BJhQ2MKH,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,or I guess next round,1677262239605,zs4ePmS88BJhQ2MKH,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,putting in 20,1677262252379,YWAy95YfuHXsKtQzf,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,could always establish an agreement if someone gets greedy to where we decrease what we all give,1677262262670,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,20,1677262261651,qYy9r8RHZprsHtqrz,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,lol and 6 zeros,1677262276485,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,greedy animals!,1677262275667,wjwKAzezsvKEKzoZC,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,"come on guys, we're gonna give less at that rate",1677262285702,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,well thats it boys,1677262286508,YWAy95YfuHXsKtQzf,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,im done,1677262287898,YWAy95YfuHXsKtQzf,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,and then you're just hurting yourself and everyone else,1677262292731,bNSP6hWcwcFADoWmP,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,no money here on out,1677262292794,YWAy95YfuHXsKtQzf,0.9626041666666667
ufttuN8GvJi76BD9G,5_C,1.0,2.0,0,0,0,2.4,False,False,10,40,me too,1677262288120,wjwKAzezsvKEKzoZC,0.9626041666666667
