conversation_num,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,score,duration,efficiency,speaker_nickname,message,timestamp
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,YASn2g9HwNs56zz98,"I think we can all just start typing whatever words we want, and then we should pick at least one to ""start"" with for the final list",2021-11-04T17:03:58.646Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,YASn2g9HwNs56zz98,Then we can just start picking others from the sandbox based on the difference,2021-11-04T17:04:12.301Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,dxvWpZx3EAkq8bA5G,That seems good,2021-11-04T17:04:15.540Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,TsTXueKfzedWg6nau,sounds good,2021-11-04T17:04:19.051Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,HEJoTpEwFWqo6qJea,That works for me,2021-11-04T17:04:23.035Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,KoAfktxY4HoB2Rydm,Good plan,2021-11-04T17:04:27.061Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,YASn2g9HwNs56zz98,I think we should remove SKY or FEATHER because both could be related to birds,2021-11-04T17:04:45.871Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,yasSRaKs7Z4EgxYN3,"Only one thing per category, yeah",2021-11-04T17:05:15.241Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,yasSRaKs7Z4EgxYN3,"one animal, one food, one geological feature",2021-11-04T17:05:21.482Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,YASn2g9HwNs56zz98,yeah if we keep the categories very separate we should have a better chance,2021-11-04T17:05:34.524Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,rrsbn66ewKTFkfmPz,remove one of sky and planet? they are both astronomy.,2021-11-04T17:05:47.784Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,yasSRaKs7Z4EgxYN3,"yeah, probably sky",2021-11-04T17:05:56.870Z
ws9E8sedkKAbhM2SG,1,High,High,High,High,High,7,88.86894958093762,387.0,0.2296355286329137,YASn2g9HwNs56zz98,"i like KNOWLEDGE because it seems the most ""intangible"" of all the nouns",2021-11-04T17:06:17.904Z
