conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies,average_hear,average_home,average_conjunction,average_certainty,average_inclusive,average_bio,average_achievement,average_adverbs,average_anxiety,average_third_person,average_negation,average_swear,average_death,average_health,average_see,average_body,average_family,average_negative_affect,average_quantifier,average_positive_affect,average_insight,average_humans,average_present_tense,average_future_tense,average_past_tense,average_relative,average_sexual,average_inhibition,average_sadness,average_social,average_indefinite_pronoun,average_religion,average_work,average_money,average_causation,average_anger,average_first_person_singular,average_feel,average_tentativeness,average_exclusive,average_verbs,average_friends,average_article,average_argue,average_auxiliary_verbs,average_cognitive_mech,average_preposition,average_first_person_plural,average_percept,average_second_person,average_positive_words,average_first_person,average_nltk_english_stopwords,average_hedge_words,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_time_diff,average_please,average_please_start,average_hashedge,average_indirect_btw,average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_greeting,average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,sum_positive_bert,sum_negative_bert,sum_neutral_bert,sum_num_words,sum_num_chars,sum_num_messages,sum_info_exchange_zscore_chats,sum_info_exchange_zscore_conversation,sum_discrepancies,sum_hear,sum_home,sum_conjunction,sum_certainty,sum_inclusive,sum_bio,sum_achievement,sum_adverbs,sum_anxiety,sum_third_person,sum_negation,sum_swear,sum_death,sum_health,sum_see,sum_body,sum_family,sum_negative_affect,sum_quantifier,sum_positive_affect,sum_insight,sum_humans,sum_present_tense,sum_future_tense,sum_past_tense,sum_relative,sum_sexual,sum_inhibition,sum_sadness,sum_social,sum_indefinite_pronoun,sum_religion,sum_work,sum_money,sum_causation,sum_anger,sum_first_person_singular,sum_feel,sum_tentativeness,sum_exclusive,sum_verbs,sum_friends,sum_article,sum_argue,sum_auxiliary_verbs,sum_cognitive_mech,sum_preposition,sum_first_person_plural,sum_percept,sum_second_person,sum_positive_words,sum_first_person,sum_nltk_english_stopwords,sum_hedge_words,sum_num_question_naive,sum_NTRI,sum_word_TTR,sum_first_pronouns_proportion,sum_function_word_accommodation,sum_content_word_accommodation,sum_hedge_naive,sum_textblob_subjectivity,sum_textblob_polarity,sum_positivity_zscore_chats,sum_positivity_zscore_conversation,sum_dale_chall_score,sum_time_diff,sum_please,sum_please_start,sum_hashedge,sum_indirect_btw,sum_hedges,sum_factuality,sum_deference,sum_gratitude,sum_apologizing,sum_1st_person_pl,sum_1st_person,sum_1st_person_start,sum_2nd_person,sum_2nd_person_start,sum_indirect_greeting,sum_direct_question,sum_direct_start,sum_haspositive,sum_hasnegative,sum_subjunctive,sum_indicative,user_list
1.0,1,0.11958068827083333,0.341609097215625,0.5388102181458333,16.854166666666668,85.80208333333333,1.0,0.15388981431157903,0.15388981431157903,0.004166666666666667,0.0010416666666666667,0.0003125,0.01375,0.0026041666666666665,0.006458333333333333,0.0008333333333333334,0.0027083333333333334,0.010625,0.0003125,0.0007291666666666667,0.0043749999999999995,0.0,0.00020833333333333337,0.000625,0.0009375,0.00010416666666666669,0.00010416666666666667,0.0004166666666666667,0.003645833333333334,0.014270833333333335,0.006979166666666667,0.0026041666666666665,0.02291666666666667,0.0016666666666666668,0.0040625,0.016458333333333335,0.0,0.0007291666666666667,0.00020833333333333335,0.01625,0.013229166666666667,0.0,0.005,0.0,0.0028125000000000003,0.0005208333333333333,0.009479166666666667,0.0016666666666666668,0.007395833333333333,0.008854166666666666,0.030833333333333334,0.00010416666666666667,0.009895833333333335,0.010625,0.01916666666666667,0.035729166666666666,0.017708333333333333,0.0007291666666666667,0.00375,0.002916666666666667,0.016979166666666667,0.009479166666666667,0.083125,0.0004166666666666667,0.052083333333333336,0.0,0.9058981179908935,0.06097866528805392,2.0833333333333335,0.0460169559167014,0.041666666666666664,0.33063265297175265,0.05869307400464394,-0.14782010985745153,-0.14782010985745153,1.485409200185848,-3.1954479166666694,0.010416666666666666,0.0,0.40625,0.0,0.2916666666666667,0.07291666666666667,0.0,0.0,0.010416666666666666,0.0625,0.4895833333333333,0.3125,0.16666666666666666,0.041666666666666664,0.0,0.03125,0.40625,0.6458333333333334,0.28125,0.0,0.0,11.479746074,32.7944733327,51.725780942,1618,8237,96,14.773422173911587,14.773422173911587,0.4,0.1,0.03,1.32,0.25,0.62,0.08,0.26,1.02,0.03,0.07,0.42,0.0,0.020000000000000004,0.06,0.09,0.010000000000000002,0.01,0.04,0.35000000000000003,1.37,0.67,0.25,2.2,0.16,0.39,1.58,0.0,0.07,0.02,1.56,1.27,0.0,0.48,0.0,0.27,0.049999999999999996,0.91,0.16,0.71,0.85,2.96,0.01,0.9500000000000001,1.02,1.84,3.43,1.7,0.07,0.36,0.28,1.63,0.91,7.98,0.04,5,0,86.96621932712577,5.853951867653176,200,4.417627768003334,4,31.740734685288256,5.634535104445819,-14.190730546315347,-14.190730546315347,142.59928321784142,-306.76300000000026,1,0,39,0,28,7,0,0,1,6,47,30,16,4,0,3,39,62,27,0,0,[0 2]
1.0,0,0.1438038067790476,0.2767532932180952,0.5794429078857143,14.476190476190476,70.81904761904762,1.0,0.040767305134934456,0.040767305134934456,0.0029523809523809524,0.0012380952380952382,0.00047619047619047614,0.008095238095238095,0.0012380952380952382,0.003142857142857143,0.00019047619047619048,0.0016190476190476191,0.006476190476190476,9.523809523809524e-05,0.0,0.0012380952380952382,0.0,9.523809523809524e-05,0.00019047619047619048,0.0004761904761904762,0.0,0.0,0.0004761904761904762,0.0022857142857142855,0.02142857142857143,0.02219047619047619,0.0007619047619047619,0.03038095238095238,0.0012380952380952382,0.0015238095238095239,0.009523809523809525,0.0,0.0002857142857142857,0.00019047619047619048,0.025142857142857144,0.008285714285714285,0.0,0.0020952380952380953,0.0,0.0019047619047619045,0.0005714285714285714,0.004761904761904762,0.0007619047619047619,0.005047619047619048,0.006190476190476191,0.03476190476190476,9.523809523809524e-05,0.0051428571428571435,0.02419047619047619,0.010476190476190476,0.03980952380952381,0.010476190476190477,0.00047619047619047614,0.0024761904761904764,0.019142857142857142,0.022952380952380953,0.004666666666666666,0.06628571428571428,0.0004761904761904762,0.09523809523809523,0.0,0.9044052614438851,0.04061908795470641,1.542857142857143,0.01752215169176753,0.0380952380952381,0.33038384983623076,0.013055807508188457,-0.037894125867722867,-0.037894125867722867,1.0526385257806827,-0.3755238095238203,0.0,0.0,0.3619047619047619,0.0,0.2761904761904762,0.09523809523809523,0.009523809523809525,0.0,0.0,0.047619047619047616,0.3238095238095238,0.18095238095238095,0.38095238095238093,0.0761904761904762,0.009523809523809525,0.009523809523809525,0.2857142857142857,0.5142857142857142,0.20952380952380953,0.0,0.009523809523809525,15.0993997118,29.0590957879,60.841505328,1520,7436,105,4.280567039168118,4.280567039168118,0.31,0.13,0.049999999999999996,0.85,0.13,0.33,0.02,0.17,0.6799999999999999,0.01,0.0,0.13,0.0,0.01,0.02,0.05,0.0,0.0,0.05,0.24,2.25,2.33,0.08,3.19,0.13,0.16,1.0,0.0,0.03,0.02,2.64,0.87,0.0,0.22,0.0,0.19999999999999998,0.06,0.5,0.08,0.53,0.65,3.65,0.01,0.54,2.54,1.0999999999999999,4.18,1.1,0.049999999999999996,0.26,2.01,2.41,0.49,6.96,0.05,10,0,94.96255245160793,4.265004235244173,162,1.8398259276355906,4,34.69030423280423,1.370859788359788,-3.9788832161109013,-3.9788832161109013,110.52704520697168,-39.43000000000113,0,0,38,0,29,10,1,0,0,5,34,19,40,8,1,1,30,54,22,0,1,[1 2]
1.0,2,0.1771780208625,0.27925859288125,0.54356338810625,11.9625,58.33125,1.0,-0.11908743258174807,-0.11908743258174807,0.002375,0.0038125,0.00012499999999999998,0.0081875,0.0010624999999999999,0.0044375,0.00025000000000000006,0.0015625,0.0074375,0.000125,0.00012499999999999998,0.0030625,0.0,0.0,0.00018750000000000003,0.0005625,0.0,0.0,0.00043750000000000006,0.0021249999999999997,0.0036875,0.0045625,0.0016250000000000001,0.0143125,0.001,0.00275,0.0115625,0.0,0.00043750000000000006,0.0,0.013999999999999999,0.012125,0.0,0.0026875,6.249999999999999e-05,0.002375,0.001,0.0056875,0.00031249999999999995,0.0042499999999999994,0.0042499999999999994,0.020874999999999998,0.0001875,0.00625,0.007062499999999999,0.014000000000000002,0.02225,0.013874999999999998,0.0011875,0.0046875,0.0026875,0.005187499999999999,0.0063750000000000005,0.06593750000000001,0.0010624999999999999,0.1,0.0,0.9150465922135499,0.05350274279855881,0.95,0.017516417520399674,0.09375,0.28573381306193807,0.0594391571969697,0.1135600860151639,0.1135600860151639,0.8815283100968385,-0.8492124999999888,0.0,0.0,0.225,0.0,0.175,0.00625,0.00625,0.0125,0.0125,0.08125,0.30625,0.2,0.18125,0.025,0.0,0.03125,0.225,0.2875,0.2375,0.00625,0.00625,28.348483338,44.681374861,86.97014209700001,1914,9333,160,-19.053989213079692,-19.053989213079692,0.38,0.61,0.019999999999999997,1.31,0.16999999999999998,0.71,0.04000000000000001,0.25,1.19,0.02,0.019999999999999997,0.49,0.0,0.0,0.030000000000000006,0.09,0.0,0.0,0.07,0.33999999999999997,0.59,0.73,0.26,2.29,0.16,0.44,1.8499999999999999,0.0,0.07,0.0,2.2399999999999998,1.94,0.0,0.43,0.009999999999999998,0.38,0.16,0.91,0.049999999999999996,0.6799999999999999,0.6799999999999999,3.34,0.03,1.0,1.13,2.24,3.56,2.2199999999999998,0.19,0.75,0.43,0.83,1.02,10.55,0.16999999999999998,16,0,146.407454754168,8.56043884776941,152,2.802626803263948,15,45.71741008991009,9.510265151515151,18.169613762426224,18.169613762426224,141.04452961549416,-135.8739999999982,0,0,36,0,28,1,1,2,2,13,49,32,29,4,0,5,36,46,38,1,1,[1 0]
