,model,model_type,features_included,alpha,q_squared
5,Lasso(alpha=0.0002218393492329748),Lasso,Team Composition + Task Complexity,0.0002,0.2791627316806632
4,Ridge(alpha=0.0002218393492329748),Ridge,Team Composition + Task Complexity,0.0002,0.2791365745239608
2,Ridge(alpha=0.0036590762276784935),Ridge,Task Complexity,0.0037,0.2515746764870316
3,Lasso(alpha=0.0036590762276784935),Lasso,Task Complexity,0.0037,0.2511927883658157
8,Lasso(alpha=0.15032870211579416),Lasso,Task Complexity + Communication,0.1503,0.2016382309421958
6,Lasso(alpha=0.15032870211579416),Lasso,Communication,0.1503,0.2016372848947302
10,Lasso(alpha=0.1375111890961518),Lasso,All Features,0.1375,0.1688884546633217
0,Ridge(alpha=0.0745746524143393),Ridge,Team Composition,0.0746,0.011612521586439883
1,Lasso(alpha=0.0745746524143393),Lasso,Team Composition,0.0746,0.009532277982577941
11,Ridge(alpha=0.1375111890961518),Ridge,All Features,0.1375,-1.1396602519840142
9,Ridge(alpha=0.15032870211579416),Ridge,Task Complexity + Communication,0.1503,-1.1411764589169104
7,Ridge(alpha=0.15032870211579416),Ridge,Communication,0.1503,-1.232312670494648
