conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
rHPaiuXkM3Ss4rEsW_easy,oJLD2kfcwGyXkfCeH,8,33,1,0,[]
dArSAcrzmb9bR6Pug_easy,6QvNn8wdCyviKCjiv,11,52,4,1,['6qP7EcqvYQL4gmrAX' 'NMkPLqERKzTTMqw5Y' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,6qP7EcqvYQL4gmrAX,18,81,4,2,['6QvNn8wdCyviKCjiv' 'NMkPLqERKzTTMqw5Y' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,NMkPLqERKzTTMqw5Y,16,72,2,2,['6QvNn8wdCyviKCjiv' '6qP7EcqvYQL4gmrAX' 'WehwSkzFdpbNKjFMD']
dArSAcrzmb9bR6Pug_easy,WehwSkzFdpbNKjFMD,58,278,7,2,['6QvNn8wdCyviKCjiv' '6qP7EcqvYQL4gmrAX' 'NMkPLqERKzTTMqw5Y']
sbtKHuLChG8ge734n_easy,NULL_SPEAKER,1,3,1,0,[]
guq9kzMuDCpB4hRhK_easy,F95Kc45STrQWhYNDa,3,10,2,0,['DAykrgum4pwPtapsc' 'Wnh2Rbi4NbSZkZHde']
guq9kzMuDCpB4hRhK_easy,DAykrgum4pwPtapsc,2,15,1,0,['F95Kc45STrQWhYNDa' 'Wnh2Rbi4NbSZkZHde']
guq9kzMuDCpB4hRhK_easy,Wnh2Rbi4NbSZkZHde,1,4,1,0,['F95Kc45STrQWhYNDa' 'DAykrgum4pwPtapsc']
hSNqR8mxGD2jv3WeZ_easy,NULL_SPEAKER,1,3,1,0,[]
QFLtvFgbhMhRt9KQK_easy,NULL_SPEAKER,1,3,1,0,[]
PfRcbWpT8qDqYiuag_easy,NULL_SPEAKER,1,3,1,0,[]
kTQ3SdYpMTZinAwHn_easy,a7F2CWbvcgg8EaF7W,6,23,1,0,[]
TwunaL3J7Q2kC2nMf_easy,gkYgpnREWnHM7WaHR,1,12,1,0,[]
BctKiX6FH5Mu63PY8_easy,NULL_SPEAKER,1,3,1,0,[]
TFXd7JkGn4hdXHvft_easy,JcEB29FvKCYX8F3W6,3,20,1,0,[]
MxNNDmoLQ9nmuHhHe_easy,NULL_SPEAKER,1,3,1,0,[]
7QFpsEv5X3PgjWwwK_easy,tqaD3PmcyKTLoemLu,27,122,7,0,['6b8bEJCwev7GRvLis' 'ZtBet8uas9QhRD95i' 'xFfSYTNuXsFeotznX']
7QFpsEv5X3PgjWwwK_easy,6b8bEJCwev7GRvLis,64,301,9,2,['tqaD3PmcyKTLoemLu' 'ZtBet8uas9QhRD95i' 'xFfSYTNuXsFeotznX']
7QFpsEv5X3PgjWwwK_easy,ZtBet8uas9QhRD95i,7,43,1,0,['tqaD3PmcyKTLoemLu' '6b8bEJCwev7GRvLis' 'xFfSYTNuXsFeotznX']
7QFpsEv5X3PgjWwwK_easy,xFfSYTNuXsFeotznX,14,62,1,1,['tqaD3PmcyKTLoemLu' '6b8bEJCwev7GRvLis' 'ZtBet8uas9QhRD95i']
SEN35wQWLHhBBexSa_easy,NULL_SPEAKER,1,3,1,0,[]
HvApsyAmuMwWyKcux_easy,NULL_SPEAKER,1,3,1,0,[]
g4mc5fAPshDRewkJ8_easy,Tm9TgDYbaJs5BRcXa,20,95,4,0,"['qQdDdkxXiJrRBycuj' 'yzvpy6zkTXHqhEHzC' 'C3vwFnfvAweMKrQxn'
 '9m3NqTwzYrya9Bx53' 'ZZgx2tcnHmfBbbuuq']"
g4mc5fAPshDRewkJ8_easy,qQdDdkxXiJrRBycuj,16,68,4,1,"['Tm9TgDYbaJs5BRcXa' 'yzvpy6zkTXHqhEHzC' 'C3vwFnfvAweMKrQxn'
 '9m3NqTwzYrya9Bx53' 'ZZgx2tcnHmfBbbuuq']"
g4mc5fAPshDRewkJ8_easy,yzvpy6zkTXHqhEHzC,9,41,3,1,"['Tm9TgDYbaJs5BRcXa' 'qQdDdkxXiJrRBycuj' 'C3vwFnfvAweMKrQxn'
 '9m3NqTwzYrya9Bx53' 'ZZgx2tcnHmfBbbuuq']"
g4mc5fAPshDRewkJ8_easy,C3vwFnfvAweMKrQxn,48,237,5,2,"['Tm9TgDYbaJs5BRcXa' 'qQdDdkxXiJrRBycuj' 'yzvpy6zkTXHqhEHzC'
 '9m3NqTwzYrya9Bx53' 'ZZgx2tcnHmfBbbuuq']"
g4mc5fAPshDRewkJ8_easy,9m3NqTwzYrya9Bx53,46,221,7,2,"['Tm9TgDYbaJs5BRcXa' 'qQdDdkxXiJrRBycuj' 'yzvpy6zkTXHqhEHzC'
 'C3vwFnfvAweMKrQxn' 'ZZgx2tcnHmfBbbuuq']"
g4mc5fAPshDRewkJ8_easy,ZZgx2tcnHmfBbbuuq,1,4,1,0,"['Tm9TgDYbaJs5BRcXa' 'qQdDdkxXiJrRBycuj' 'yzvpy6zkTXHqhEHzC'
 'C3vwFnfvAweMKrQxn' '9m3NqTwzYrya9Bx53']"
8Tn58Shn84QLt98gm_easy,NULL_SPEAKER,1,3,1,0,[]
biv6qmjxFHmfqCKDo_easy,NULL_SPEAKER,1,3,1,0,[]
HN8EpujSrSBZK8D4k_easy,XApfLti4Kp76QzSnj,11,50,2,0,['bem97cS9DxH3djLNy' 'ydmtpB5MMrPa8y2Rk']
HN8EpujSrSBZK8D4k_easy,bem97cS9DxH3djLNy,0,0,1,0,['XApfLti4Kp76QzSnj' 'ydmtpB5MMrPa8y2Rk']
HN8EpujSrSBZK8D4k_easy,ydmtpB5MMrPa8y2Rk,2,12,1,0,['XApfLti4Kp76QzSnj' 'bem97cS9DxH3djLNy']
WvTqeFKEDkCLjF7ff_easy,NULL_SPEAKER,1,3,1,0,[]
xJqitLtjA4er5jnEn_easy,NULL_SPEAKER,1,3,1,0,[]
3GHKN56ERGrgdxG4y_easy,r3CLygPJaKkDvyoEk,8,33,2,0,['7FGgMg6agZP5N3767' 'y587sfiKM2KCgzRRW']
3GHKN56ERGrgdxG4y_easy,7FGgMg6agZP5N3767,18,75,1,2,['r3CLygPJaKkDvyoEk' 'y587sfiKM2KCgzRRW']
3GHKN56ERGrgdxG4y_easy,y587sfiKM2KCgzRRW,8,48,2,0,['r3CLygPJaKkDvyoEk' '7FGgMg6agZP5N3767']
AsEcMzyehsmuQspZo_easy,NULL_SPEAKER,1,3,1,0,[]
EAT5huLHGhHMqrwkH_easy,NULL_SPEAKER,1,3,1,0,[]
WCgKHreZdSG6H8PaW_easy,NULL_SPEAKER,1,3,1,0,[]
BEY4ikSKrGtcaT8vb_easy,YhLjZN6RkXhbaFLqy,6,34,1,0,[]
dbqX58FcojeTTeMXe_easy,NULL_SPEAKER,1,3,1,0,[]
kySX6MHndg67cD3Li_easy,GaCyLACZvdGS8BC8g,40,194,5,4,"['h2jByMazWeZXyzJB3' 'WBD8j64fntbaWjGs8' 'yJeJFYJE9E2AWjaA8'
 'tMHgF4d5LYRtXsNKk' 'Pgg9C8CBpTHzs5egf' 'Hau3ksskRfQdr5v5Z']"
kySX6MHndg67cD3Li_easy,h2jByMazWeZXyzJB3,57,258,10,3,"['GaCyLACZvdGS8BC8g' 'WBD8j64fntbaWjGs8' 'yJeJFYJE9E2AWjaA8'
 'tMHgF4d5LYRtXsNKk' 'Pgg9C8CBpTHzs5egf' 'Hau3ksskRfQdr5v5Z']"
kySX6MHndg67cD3Li_easy,WBD8j64fntbaWjGs8,32,142,3,3,"['GaCyLACZvdGS8BC8g' 'h2jByMazWeZXyzJB3' 'yJeJFYJE9E2AWjaA8'
 'tMHgF4d5LYRtXsNKk' 'Pgg9C8CBpTHzs5egf' 'Hau3ksskRfQdr5v5Z']"
kySX6MHndg67cD3Li_easy,yJeJFYJE9E2AWjaA8,35,152,6,5,"['GaCyLACZvdGS8BC8g' 'h2jByMazWeZXyzJB3' 'WBD8j64fntbaWjGs8'
 'tMHgF4d5LYRtXsNKk' 'Pgg9C8CBpTHzs5egf' 'Hau3ksskRfQdr5v5Z']"
kySX6MHndg67cD3Li_easy,tMHgF4d5LYRtXsNKk,16,80,1,1,"['GaCyLACZvdGS8BC8g' 'h2jByMazWeZXyzJB3' 'WBD8j64fntbaWjGs8'
 'yJeJFYJE9E2AWjaA8' 'Pgg9C8CBpTHzs5egf' 'Hau3ksskRfQdr5v5Z']"
kySX6MHndg67cD3Li_easy,Pgg9C8CBpTHzs5egf,15,67,3,0,"['GaCyLACZvdGS8BC8g' 'h2jByMazWeZXyzJB3' 'WBD8j64fntbaWjGs8'
 'yJeJFYJE9E2AWjaA8' 'tMHgF4d5LYRtXsNKk' 'Hau3ksskRfQdr5v5Z']"
kySX6MHndg67cD3Li_easy,Hau3ksskRfQdr5v5Z,9,36,2,0,"['GaCyLACZvdGS8BC8g' 'h2jByMazWeZXyzJB3' 'WBD8j64fntbaWjGs8'
 'yJeJFYJE9E2AWjaA8' 'tMHgF4d5LYRtXsNKk' 'Pgg9C8CBpTHzs5egf']"
zdBGjnPDQBJoyZqjh_easy,f8YbmuHe5agpk96tm,5,19,1,0,['5h3gBkqM3D2S47o6o' 'i28ZS3FP54Z5QTyj4']
zdBGjnPDQBJoyZqjh_easy,5h3gBkqM3D2S47o6o,2,6,1,0,['f8YbmuHe5agpk96tm' 'i28ZS3FP54Z5QTyj4']
zdBGjnPDQBJoyZqjh_easy,i28ZS3FP54Z5QTyj4,2,10,1,0,['f8YbmuHe5agpk96tm' '5h3gBkqM3D2S47o6o']
cb2KMXFqSt2fJqRoa_easy,TtbAvteZKizwoyHeQ,7,32,1,0,"['ajAi4jxzqEwxpTvC4' 'YPzq2euaCcGgk6n9j' 'Q7Z4F3E6M2rPib8bp'
 'WiuwFxezEg3uSYY5J']"
cb2KMXFqSt2fJqRoa_easy,ajAi4jxzqEwxpTvC4,17,89,4,1,"['TtbAvteZKizwoyHeQ' 'YPzq2euaCcGgk6n9j' 'Q7Z4F3E6M2rPib8bp'
 'WiuwFxezEg3uSYY5J']"
cb2KMXFqSt2fJqRoa_easy,YPzq2euaCcGgk6n9j,1,3,1,0,"['TtbAvteZKizwoyHeQ' 'ajAi4jxzqEwxpTvC4' 'Q7Z4F3E6M2rPib8bp'
 'WiuwFxezEg3uSYY5J']"
