conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies,average_hear,average_home,average_conjunction,average_certainty,average_inclusive,average_bio,average_achievement,average_adverbs,average_anxiety,average_third_person,average_negation,average_swear,average_death,average_health,average_see,average_body,average_family,average_negative_affect,average_quantifier,average_positive_affect,average_insight,average_humans,average_present_tense,average_future_tense,average_past_tense,average_relative,average_sexual,average_inhibition,average_sadness,average_social,average_indefinite_pronoun,average_religion,average_work,average_money,average_causation,average_anger,average_first_person_singular,average_feel,average_tentativeness,average_exclusive,average_verbs,average_friends,average_article,average_argue,average_auxiliary_verbs,average_cognitive_mech,average_preposition,average_first_person_plural,average_percept,average_second_person,average_positive_words,average_first_person,average_nltk_english_stopwords,average_hedge_words,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_please,average_please_start,average_hashedge,average_indirect_(btw),average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl.,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_(greeting),average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,sum_positive_bert,sum_negative_bert,sum_neutral_bert,sum_num_words,sum_num_chars,sum_num_messages,sum_info_exchange_zscore_chats,sum_info_exchange_zscore_conversation,sum_discrepancies,sum_hear,sum_home,sum_conjunction,sum_certainty,sum_inclusive,sum_bio,sum_achievement,sum_adverbs,sum_anxiety,sum_third_person,sum_negation,sum_swear,sum_death,sum_health,sum_see,sum_body,sum_family,sum_negative_affect,sum_quantifier,sum_positive_affect,sum_insight,sum_humans,sum_present_tense,sum_future_tense,sum_past_tense,sum_relative,sum_sexual,sum_inhibition,sum_sadness,sum_social,sum_indefinite_pronoun,sum_religion,sum_work,sum_money,sum_causation,sum_anger,sum_first_person_singular,sum_feel,sum_tentativeness,sum_exclusive,sum_verbs,sum_friends,sum_article,sum_argue,sum_auxiliary_verbs,sum_cognitive_mech,sum_preposition,sum_first_person_plural,sum_percept,sum_second_person,sum_positive_words,sum_first_person,sum_nltk_english_stopwords,sum_hedge_words,sum_num_question_naive,sum_NTRI,sum_word_TTR,sum_first_pronouns_proportion,sum_function_word_accommodation,sum_content_word_accommodation,sum_hedge_naive,sum_textblob_subjectivity,sum_textblob_polarity,sum_positivity_zscore_chats,sum_positivity_zscore_conversation,sum_dale_chall_score,sum_please,sum_please_start,sum_hashedge,sum_indirect_(btw),sum_hedges,sum_factuality,sum_deference,sum_gratitude,sum_apologizing,sum_1st_person_pl.,sum_1st_person,sum_1st_person_start,sum_2nd_person,sum_2nd_person_start,sum_indirect_(greeting),sum_direct_question,sum_direct_start,sum_haspositive,sum_hasnegative,sum_subjunctive,sum_indicative,user_list
182,eQuK9PirA9WSa8DrP,0.01928625,0.584681,0.39603278,12.0,61.0,1.0,1.722891450109606,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.01,0.01,0.03,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.06,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.1,0.0,-1.035769244107985,-1.4919352142071824,0.5952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01928625,0.584681,0.39603278,12,61,1,1.722891450109606,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.01,0.01,0.03,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.06,0.0,0,0,1.0,0.08333333333333333,0,0.0,0,0.1,0.0,-1.035769244107985,-1.4919352142071824,0.5952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['cRJk4WEXcXPYQxkCJ' 'c24Dw7YjjjdNbABLE']
182,cRJk4WEXcXPYQxkCJ,0.20568505,0.11008757,0.68422747,2.0,8.0,1.0,-0.5525318850761866,-1.334248769989982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39365605086429645,1.1840788852083866,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20568505,0.11008757,0.68422747,2,8,1,-0.5525318850761866,-1.334248769989982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0,0,1.0,0.0,0,0.0,0,0.0,0.0,-0.39365605086429645,1.1840788852083866,0.0992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['eQuK9PirA9WSa8DrP' 'c24Dw7YjjjdNbABLE']
182,c24Dw7YjjjdNbABLE,0.133929502,0.061984515000000004,0.804086,15.5,92.0,1.0,2.860603117702502,0.667124384994991,0.0,0.0,0.005,0.005,0.005,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01,0.005,0.0,0.01,0.0,0.005,0.034999999999999996,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.015,0.019999999999999997,0.019999999999999997,0.0,0.0,0.0,0.01,0.0,0.075,0.0,0.5,0.0,0.9523809523809523,0.0,0.5,0.02593537414965986,0.0,0.52,0.2675,-0.6408421060279068,0.15392816449939772,3.37655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.267859004,0.12396903000000001,1.608172,31,184,2,5.721206235405004,1.334248769989982,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.02,0.0,0.01,0.06999999999999999,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.039999999999999994,0.039999999999999994,0.0,0.0,0.0,0.02,0.0,0.15,0.0,1,0,1.9047619047619047,0.0,1,0.05187074829931972,0,1.04,0.535,-1.2816842120558136,0.30785632899879545,6.7531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,['eQuK9PirA9WSa8DrP' 'cRJk4WEXcXPYQxkCJ']
180,cRJk4WEXcXPYQxkCJ,0.270966771,0.021156538000000003,0.70787669,4.5,19.0,1.0,0.07953015247542244,-0.2929250497068538,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.01,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.005,0.5,0.0,0.9285714285714286,0.0,0.0,0.0,0.5,0.25,0.25,-0.1687712644184955,-0.357114784231409,0.2232,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541933542,0.042313076000000005,1.41575338,9,38,2,0.1590603049508449,-0.5858500994137076,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,1,0,1.8571428571428572,0.0,0,0.0,1,0.5,0.5,-0.337542528836991,-0.714229568462818,0.4464,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['c24Dw7YjjjdNbABLE' 'eQuK9PirA9WSa8DrP']
180,c24Dw7YjjjdNbABLE,0.22587721,0.014417784749999999,0.75970503,8.0,35.5,1.0,0.964417005047675,0.846227921375355,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.005,0.01,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5399999999999999,0.16,-0.324097382374545,-0.5082472785442212,3.00455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45175442,0.028835569499999998,1.51941006,16,71,2,1.92883401009535,1.69245584275071,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0,0,2.0,0.0,0,0.0,0,1.0799999999999998,0.32,-0.64819476474909,-1.0164945570884425,6.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['cRJk4WEXcXPYQxkCJ' 'eQuK9PirA9WSa8DrP']
180,eQuK9PirA9WSa8DrP,0.8938622,0.018093878,0.08804389,2.0,9.0,1.0,-0.5525318850761866,-1.106605743337003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,1.9770009882574198,1.7307241255512609,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8938622,0.018093878,0.08804389,2,9,1,-0.5525318850761866,-1.106605743337003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0,1.0,0.6,1.9770009882574198,1.7307241255512609,0.0992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['cRJk4WEXcXPYQxkCJ' 'c24Dw7YjjjdNbABLE']
184,c24Dw7YjjjdNbABLE,0.508492555,0.0239890055,0.467518395,4.5,25.5,1.0,-0.046882255034899345,-0.2544566789039913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,0.005,0.0,0.01,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.01,0.0,0.005,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.005000000000000001,0.005,0.01,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.5700000000000001,0.43,0.6494659755312824,0.6430180393389933,3.169307142857143,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.01698511,0.047978011,0.93503679,9,51,2,-0.09376451006979869,-0.5089133578079826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.01,0.0,0.02,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.010000000000000002,0.01,0.02,0.0,0,0,2.0,0.14285714285714285,0,0.0,0,1.1400000000000001,0.86,1.2989319510625648,1.2860360786779865,6.338614285714286,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,['cRJk4WEXcXPYQxkCJ']
184,cRJk4WEXcXPYQxkCJ,0.059484977,0.018563387,0.92195162,5.5,19.0,1.0,0.332354967496066,0.25445667890399126,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.015,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.5,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,-0.8972912444733239,-0.6430180393389933,0.2728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.118969954,0.037126774,1.84390324,11,38,2,0.664709934992132,0.5089133578079825,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1,0,1.8888888888888888,0.0,0,0.0,0,0.0,0.0,-1.7945824889466477,-1.2860360786779865,0.5456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['c24Dw7YjjjdNbABLE']
183,cRJk4WEXcXPYQxkCJ,0.26926166,0.06733390675,0.6634044625,8.5,34.75,1.0,1.027623208802836,0.26729491686271384,0.0025,0.0,0.0,0.007500000000000001,0.0,0.010000000000000002,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.005,0.0,0.0,0.01,0.0025,0.0,0.01,0.0,0.0,0.0,0.0025,0.005,0.0,0.0,0.0,0.005,0.0024999999999999996,0.0025,0.0,0.0025,0.0,0.0125,0.0,0.005,0.007500000000000001,0.005,0.02,0.015000000000000001,0.0025,0.0025,0.0,0.0075,0.0025,0.04,0.0,0.0,0.0,0.9354166666666667,0.015625,0.0,0.0,0.0,0.225,0.125,-0.1746450912298534,0.4275037866061693,0.4216,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1.07704664,0.269335627,2.65361785,34,139,4,4.110492835211344,1.0691796674508554,0.01,0.0,0.0,0.030000000000000002,0.0,0.04000000000000001,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.04,0.01,0.0,0.04,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.009999999999999998,0.01,0.0,0.01,0.0,0.05,0.0,0.02,0.030000000000000002,0.02,0.08,0.060000000000000005,0.01,0.01,0.0,0.03,0.01,0.16,0.0,0,0,3.7416666666666667,0.0625,0,0.0,0,0.9,0.5,-0.6985803649194136,1.7100151464246771,1.6864,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,['c24Dw7YjjjdNbABLE' 'eQuK9PirA9WSa8DrP']
183,c24Dw7YjjjdNbABLE,0.1925418192,0.1623658726,0.645092314,6.2,26.6,1.0,0.40820241200225915,-0.19007638532459664,0.0,0.0,0.002,0.002,0.0,0.002,0.0,0.002,0.008,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.01,0.002,0.0,0.006,0.0,0.0,0.0,0.002,0.008,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.004,0.0,0.014000000000000002,0.0,0.002,0.004,0.01,0.01,0.008,0.002,0.0,0.0,0.006,0.004,0.032,0.0,0.4,0.0,1.0,0.03538461538461539,0.2,0.0,0.0,0.383,0.007000000000000001,-0.438932318192878,0.0033528954266438095,0.30751999999999996,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.962709096,0.811829363,3.2254615700000002,31,133,5,2.0410120600112958,-0.9503819266229832,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.07,0.0,0.01,0.02,0.05,0.05,0.04,0.01,0.0,0.0,0.03,0.02,0.16,0.0,2,0,5.0,0.17692307692307693,1,0.0,0,1.915,0.035,-2.19466159096439,0.016764477133219047,1.5375999999999999,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,['cRJk4WEXcXPYQxkCJ' 'eQuK9PirA9WSa8DrP']
