,model,model_type,features_included,alpha,q_squared
8,Lasso(alpha=0.0291579184446774),Lasso,Task Complexity + Communication,0.0292,0.794933587131385
10,Lasso(alpha=0.029706899499162696),Lasso,All Features,0.0297,0.7948870973515165
2,Ridge(alpha=0.0004281275726598863),Ridge,Task Complexity,0.0004,0.7691392102247328
3,Lasso(alpha=0.0004281275726598863),Lasso,Task Complexity,0.0004,0.7691384231921263
5,Lasso(alpha=0.018102385734778535),Lasso,Team Composition + Task Complexity,0.0181,0.7607195494377778
4,Ridge(alpha=0.018102385734778535),Ridge,Team Composition + Task Complexity,0.0181,0.7591157247516872
6,Lasso(alpha=0.07342854923633076),Lasso,Communication,0.0734,0.1831513243543239
1,Lasso(alpha=0.08987652413657517),Lasso,Team Composition,0.0899,-0.0051214362102063316
0,Ridge(alpha=0.08987652413657517),Ridge,Team Composition,0.0899,-0.10555457432976212
9,Ridge(alpha=0.0291579184446774),Ridge,Task Complexity + Communication,0.0292,-0.3147820302603406
11,Ridge(alpha=0.029706899499162696),Ridge,All Features,0.0297,-0.42792200647356693
7,Ridge(alpha=0.07342854923633076),Ridge,Communication,0.0734,-1.547482255622763
