,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
High,0.03716228559472032,0.06373490652492864,0.042039464343919086,0.0684380252736379,0.04204054094204531,0.04201888455296873,0.04203560937780396,0.04203320816028139,0.05242455672465011,0.04204007411750837,0.04351149590547783,0.009746081076339263,0.04204258985768731,0.042010349533950414,0.09242393089205599,0.04202982970684791,0.04201233867459426,0.0,0.06796771339876703,0.018224442828131484,0.05197710965315511,0.04201453942594464,0.042012761896007854,0.03739744153215585,0.042051760935682365,0.08282275770422201,0.04202324605400235,0.04201805216367744,0.02258261747372123,0.04492243153009076,0.03339979059575286,0.04201679040406655,0.037469402565251116,0.04201851499727975,0.04201614333933186,0.04201638970979179,0.04205692957670546,0.0,0.04203554578518689,0.04201678249943665,0.04204617548652445,0.04201484196278456,0.046359127803361974,0.0005986010553857738,0.022265778643115856,0.07348519139681628,0.03464328198131866,0.028533388528453517,0.04201377762740039,0.04203630050724027,0.042014788301803316,0.060442723400831885,0.06444037433723498,0.06115540894223346,0.042035609377803894,0.04201769292004718,0.04204334457974059,0.04204787291206232,0.042013439730611966,0.028331207564410182,0.04204057726554411,0.04150678466633159,0.0420305778974605,0.04201034953395055,0.04202831373130635,0.04204116348509688,0.02974647431271232,0.0795929056083542,0.0,0.042019007738198305,0.04205649188418019,0.04202221236224044,0.05671436231034942,0.012235756226560639,0.04633336715470397,0.048785299371877214,0.042048077128931126,0.04202833949661218,0.013581530440244982,0.043276339968042574,0.05174195371571944,0.042024728102418876,0.06297220074618619,0.04204032569152625,0.04203277847099052,0.0,0.04201555515733729,0.033835818957338636,0.042013063708585055,0.04205094805726795,0.06820286933620248,0.04202008557764252,0.04202070291813285,0.042019462992047674,0.04201100069827888,0.023478864427374645,0.04201365066097652,0.042053026803728015,0.020446149966727386,0.06640885765536562,0.04201223255057386,0.04201481944039405,0.042030349468914666,0.027050580284995213,0.042049776269972174,0.04202573439849027,0.042017295869086646,0.04201747114810742,0.042035421628513134,0.04201398923810714,0.0204662140368016,0.005886545915803077,0.042017744747320375,0.04202411232411379,0.042016143339331874,0.07220052027260543,0.08772081214334641,0.06585130996184785,0.037267536809255535,0.009746081076338566,0.04204743335661072,0.008238105290157687,0.05974234865027034,0.04750914684188112,0.04201343973061207,0.042016636080251586,0.04204894280071348,0.005886545915802924,0.04201784055297067,0.0420443508758119,0.04201547051305479,0.0,0.07146338175640173,0.042047621338044044,0.04201326445159046,0.017618845560145733,0.06115540894223327,0.02812902660036681,0.04201458174808639,0.04205271641097123,0.017618845560145882,0.07570918200127195,0.042044847334551334,0.04201624419495666,0.08726731131147744,0.0781798453164122,0.042017744747320375,0.09524580214128137,0.05323328058082174,0.042015428190913286,0.04201454193134358,0.04201925410865761
Low,-0.5395073465478539,-0.5395073465478535,-0.5394887191405491,-0.5395073465478537,-0.5394877850809833,-0.539506543560401,-0.5394920235901689,-0.6191334594723331,-0.5291001639471405,-0.5394881474426959,-0.5395073465478537,-0.5717847634769763,-0.5394859633556988,-0.49175488450646393,-0.5395073465478539,-0.6055981453164465,-0.508068491055013,-0.5356676252972739,-0.5395073465478537,-0.5633030315277924,-0.5395073465478536,-0.526117587661919,-0.5115394711717259,-0.5395073465478538,-0.5394780505829083,-0.4987050078962086,-0.5792216356793346,-0.5549267226306339,-0.5395073465478539,-0.539507346547854,-0.539507346547854,-0.5395083616350576,-0.54405907829218,-0.5395068643971053,-0.5395089233964464,-0.5395087095053097,-0.5394735140598135,-0.5894798278362878,-0.5394920787992914,-0.5445137822804962,-0.5394828504248055,-0.5395100815878212,-0.5351667950162357,-0.5809277590889662,-0.5592606032681654,-0.5080396712536979,-0.5468863222752425,-0.5529917511634284,-0.5198698234518362,-0.5394914235731924,-0.5395100997976986,-0.5395073465478538,-0.5395073465478537,-0.5203723130762296,-0.5394920235901689,-0.5395076080892299,-0.5394853081295993,-0.5394813767730039,-0.5395112981684232,-0.553193972199065,-0.5394877106252965,-0.5400200998715113,-0.5394963917641515,-0.49175488450646365,-0.5394983574424431,-0.5394872449608789,-0.5517784249496078,-0.5019361438768039,-0.535667625297274,-0.5395064366148328,-0.4851190420524999,-0.5395036544603772,-0.5248151250496049,-0.5395073465478537,-0.5395073465478538,-0.5327401425885979,-0.5394812466640194,-0.5394983710893999,-0.5679477894999643,-0.5395073465478539,-0.5395073465478537,-0.5395014703733803,-0.5185547990871211,-0.5394879290339961,-0.5394944812949887,-0.5375893878847519,-0.5344479399420294,-0.547694106270403,-0.5395115970356551,-0.5394787558385098,-0.5395073465478537,-0.5395055322127417,-0.5395049649125757,-0.5395060723697571,-0.5395133880767561,-0.5580472770543454,-0.5188285294168226,-0.4712366685592895,-0.5610805925888953,-0.5151174075009296,-0.5395123186210755,-0.5395100727641463,-0.607680501340429,-0.5395073465478537,-0.5394797724844672,-0.5395005967385812,-0.5395079525717674,-0.5395078004991922,-0.5394922266118201,-0.5216053135101929,-0.539507346547854,-0.5395073465478538,-0.5395075331040582,-0.5826922290526386,-0.539508923396447,-0.5395073465478538,-0.5395073465478539,-0.5395073465478539,-0.5442610242909703,-0.5717847634769769,-0.5394817583813092,-0.5395073465478538,-0.5217859350677584,-0.5395073465478538,-0.5395112981684234,-0.5395084956141729,-0.5394804479291148,-0.5395073465478539,-0.5531912325722779,-0.5394844344948008,-0.5337537439186869,-0.5335105744019977,-0.5100618816100496,-0.5394815951817039,-0.5395114502409984,-0.5639088695241633,-0.52037231307623,-0.5533961932347017,-0.5264646856735901,-0.5394771717986272,-0.5639088695241634,-0.5058152398617106,-0.5394840488427187,-0.5395088650072192,-0.4942591358885062,-0.5033497658683138,-0.5395075331040581,-0.539507346547854,-0.5282912798045949,-0.5334066459070158,-0.5395103136888352,-0.5395062227236967
Moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Very high,0.3760598939752505,0.3760598939752503,0.37607437322146914,0.3760598939752505,0.37607510045958886,0.38374723445005493,0.4125534574687556,0.37607043590195316,0.38646786339348943,0.36735952381127357,0.37605989397525025,0.34377429302176377,0.3655387768416398,0.37605489865120967,0.3760598939752507,0.37606813953135415,0.3760562506912302,0.37990682691757605,0.3760598939752507,0.3522609619553176,0.37605989397525064,0.3760577465652955,0.3760565383593197,0.3760598939752502,0.3760826795244977,0.41685855894436086,0.3760636645527496,0.3760601342104378,0.37605989397525047,0.3760598939752505,0.37605989397524997,0.3868439892034238,0.37150344077218517,0.38429372058300215,0.3458382323924663,0.34547390830383495,0.3551605191147264,0.32609260465609446,0.370636868356615,0.3760592712061692,0.40490632019627254,0.3760577408924344,0.3803994713043247,0.3346378665968364,0.3563049905313756,0.407528148103039,0.36867455112766623,0.3625756623568502,0.37605722876273445,0.3700906442657243,0.34784201487993716,0.37605989397525025,0.3760598939752505,0.3951913176073337,0.4125534574687552,0.37605966670376634,0.3649925527507498,0.36171520820540876,0.3760567936896674,0.362373382620545,0.3669953744173471,0.3755447576329929,0.4161949514080322,0.37605489865121,0.41783362368070776,0.3760755209851568,0.3637893407746843,0.41362554220780534,0.37990682691757616,0.383565072405739,0.37608626209581997,0.3802868272956747,0.39074591959452526,0.37605989397525047,0.37605989397525047,0.38282682813999047,0.3760801911264306,0.37606685842756066,0.3476135003964671,0.37605989397525064,0.3760598939752504,0.37846608032604107,0.3970098895216654,0.3671774491143103,0.3726396900232122,0.3779809900853593,0.3760584369687101,0.36786629694351863,0.3503922835003558,0.37608213042808414,0.37605989397525025,0.3760612829353057,0.38137927547745487,0.37606086238099956,0.39540560528626734,0.3575186689492092,0.3760571424623075,0.37608390684391774,0.3544844729046249,0.4004483573323828,0.39358398484310886,0.3897585819124766,0.3760684928191382,0.3760598939752504,0.37608133889002626,0.3777377815381873,0.3760593984972767,0.37605951689762246,0.37607164238191065,0.376057372596779,0.3760598939752501,0.3760598939752507,0.3434701258163634,0.3760642533657236,0.34583823239246586,0.3760598939752504,0.3760598939752503,0.3760598939752504,0.37130137722614814,0.3437742930217639,0.40399594671145345,0.3760598939752505,0.39377687278507656,0.3760598939752506,0.3760567936896677,0.3451095842152038,0.40290349852966983,0.37605989397525047,0.3760599903763931,0.3642642539628957,0.376058379435092,0.38205718971690567,0.40550535073999433,0.3618972829023719,0.3760566752893214,0.3516547713172064,0.395191317607334,0.3621711028842385,0.37605777533210394,0.4001723780752125,0.3516547713172063,0.409753225202388,0.37607800941206954,0.3760586880952016,0.42130636226995344,0.4122110973855628,0.34347012581636366,0.3760598939752503,0.3872769823387112,0.3760583506682831,0.348206338968569,0.38320074831710743
Very low,-0.9706572516292993,-0.9706572516292992,-0.9800680824822645,-0.9706572516292992,-0.981218466358223,-0.9706565061028026,-0.9706465078361696,-0.9706480028077288,-0.960248964784807,-0.9706438387703712,-0.9706572516292992,-1.0029463982383071,-0.9706423348358727,-0.9706616480691269,-0.9706572516292992,-0.9706500195465863,-0.970660460668628,-0.9668069075648051,-0.9706572516292993,-0.9944576033088716,-0.9706572516292993,-0.9706591469489269,-0.9706602080302237,-0.9706572516292995,-1.0541101104449213,-0.929860190043376,-0.9706539496017961,-0.9706570500501731,-0.9706572516292992,-0.970657251629299,-0.9706572516292992,-0.970657758005864,-0.9752157594156631,-0.9706567270268729,-0.9706581448276042,-0.9706579975448907,-0.9706337624092319,-1.0206217798315982,-0.9706465458524686,-0.9706578079653853,-0.9706401913112939,-0.9490050644280962,-0.9663181152158918,-1.012079995797687,-0.9904128855942173,-0.9391887696386352,-0.9780453577254754,-0.9841414301487598,-0.9706596016980539,-0.9706460946721193,-0.9706589548825284,-0.970657251629299,-0.9706572516292992,-0.9515274038879233,-0.9706465078361696,-1.0161465713204747,-0.9706418836555237,-0.970639176573426,-0.9459364975185748,-0.98434373516313,-0.9706435379834715,-0.9711734355607593,-0.9706495157051582,-0.9706616480691269,-0.9706508692462027,-0.9209810449325492,-0.9829276000625418,-0.9330940166831292,-0.9668069075648054,-0.9706564324614462,-0.9706341037880576,-0.9706545167053102,-0.9559739155176229,-0.9706572516292992,-0.9706572516292992,-0.9638904550434578,-0.9892711534899283,-0.9681807824306985,-0.9991062291035625,-0.9706572516292992,-0.970657251629299,-0.9706530127708117,-0.9497083764030454,-0.9706436883769214,-0.9706482001804168,-0.9687340457337705,-0.970658540616757,-0.9788538143854216,-0.9706599858615229,-0.9923388438258168,-0.9706572516292993,-0.9593611727150206,-0.9706554190660089,-1.0195985941660868,-0.9706612191496219,-0.9891990555079997,-0.9706596774895753,-0.9706361722381723,-0.992233630723544,-0.9462694451415354,-0.9706604827360564,-0.970658936267569,-0.9706497092790696,-0.970657251629299,-0.9301841159402939,-0.9706524111970123,-0.9543750565197587,-0.9547586273834493,-0.914845664260719,-0.9706594753788522,-0.9706572516292997,-0.9706572516292993,-0.9706571874899664,-0.970653432489268,-0.9706581448276044,-0.9706572516292993,-0.9706572516292995,-0.9706572516292995,-0.9754178735806492,-1.0029463982383078,-0.9706394393440465,-0.970657251629299,-0.9529422030428276,-0.9706572516292993,-0.9459364975185747,-0.9706578502621769,-0.97063853698335,-0.9706572516292993,-0.9706571763693752,-0.9706412820817242,-0.9706585911444375,-0.9646586886664952,-0.9412118197823208,-0.9706393269668758,-0.9455529266548847,-0.9950639458038314,-0.9515274038879236,-0.9845460401774994,-0.9706591216850862,-0.9706362810816083,-0.9950639458038314,-0.936963414480581,-0.9858200018620547,-0.9520736313376176,-0.9254115550412241,-0.9345088158380205,-0.9706571874899664,-0.9706572516292992,-0.9594397447273293,-0.9706586164082778,-0.9706591021652416,-0.9706562851787326
