,model,model_type,features_included,alpha,q_squared
10,Lasso(alpha=0.017651342354672698),Lasso,All Features,0.0177,0.7457709658486329
8,Lasso(alpha=0.01883564769017229),Lasso,Task Complexity + Communication,0.0188,0.7379303726644004
4,Ridge(alpha=0.00568497466260525),Ridge,Team Composition + Task Complexity,0.0057,0.72914572944826
5,Lasso(alpha=0.00568497466260525),Lasso,Team Composition + Task Complexity,0.0057,0.7287547079165897
2,Ridge(alpha=0.00042297596715896296),Ridge,Task Complexity,0.0004,0.7240793548642057
3,Lasso(alpha=0.00042297596715896296),Lasso,Task Complexity,0.0004,0.7240786292698952
6,Lasso(alpha=0.04745396200858622),Lasso,Communication,0.0475,0.03625188266582868
1,Lasso(alpha=0.07475156726546744),Lasso,Team Composition,0.0748,-0.0012245860388777619
0,Ridge(alpha=0.07475156726546744),Ridge,Team Composition,0.0748,-0.014648176190612539
9,Ridge(alpha=0.01883564769017229),Ridge,Task Complexity + Communication,0.0188,-2.3140014134339495
11,Ridge(alpha=0.017651342354672698),Ridge,All Features,0.0177,-2.5609918278805313
7,Ridge(alpha=0.04745396200858622),Ridge,Communication,0.0475,-9.640308462674897
