,feature,r2,mae,mse,rmse
30,max_info_exchange_zscore_chats,0.05501999999999999,0.73773,0.9520799999999999,0.9756400000000001
250,max_nltk_english_stopwords,0.05472999999999999,0.73873,0.9523699999999999,0.9757899999999999
18,max_num_words,0.05443,0.7381499999999999,0.9526700000000001,0.9759399999999999
22,max_num_chars,0.05286,0.73909,0.9542200000000001,0.97672
28,stdev_info_exchange_zscore_chats,0.052590000000000005,0.7378899999999999,0.9545199999999998,0.9768899999999998
16,stdev_num_words,0.05194,0.73805,0.9551700000000001,0.97721
202,max_verbs,0.05127999999999999,0.7392400000000001,0.9558100000000002,0.9775500000000001
160,stdev_indefinite_pronoun,0.05072,0.74118,0.9563900000000001,0.9778399999999999
20,stdev_num_chars,0.0505,0.74002,0.9566400000000002,0.9779599999999998
248,stdev_nltk_english_stopwords,0.05005,0.7397100000000001,0.9570599999999999,0.97819
