,feature,r2,mae,mse,rmse
30,max_info_exchange_zscore_chats,0.05384,0.7386299999999999,0.9532700000000001,0.9762599999999999
18,max_num_words,0.05334,0.7390599999999999,0.9537699999999999,0.9765099999999999
22,max_num_chars,0.052489999999999995,0.73958,0.9546299999999999,0.97696
250,max_nltk_english_stopwords,0.051890000000000006,0.74063,0.9552200000000001,0.97726
202,max_verbs,0.05012,0.7408,0.9569700000000001,0.97815
28,stdev_info_exchange_zscore_chats,0.049870000000000005,0.73933,0.9572500000000002,0.97828
160,stdev_indefinite_pronoun,0.04917,0.7420500000000001,0.95795,0.97865
247,average_nltk_english_stopwords,0.04914,0.7445,0.95798,0.97865
1018,average_user_avg_nltk_english_stopwords,0.04914,0.7447499999999999,0.9579700000000001,0.97866
16,stdev_num_words,0.049030000000000004,0.73966,0.9581099999999999,0.9787199999999998
