,Composition Only,Composition + Task Map,Composition + Task Map + Complexity,Composition + Task Map + Complexity + Communication
0,0.10834738287315782,0.22212401606132426,0.22083362302622112,0.21267663278315807
1,0.07513281702382413,0.07753809548913915,0.07858726870706534,0.07214051214199069
2,0.11931911866919165,0.24066426547636854,0.2365594411218248,0.22818430713946614
3,0.04805532609459362,0.05497647520017468,0.056458214996787714,0.035650214789348156
4,0.14523301922054532,0.2560989429752385,0.2607793636736393,0.25083529516089864
5,0.13415139713052882,0.2147727005884308,0.2265706544171,0.21291510966289884
6,0.126114460109657,0.2928330132269579,0.29718783266333426,0.28234551108840655
7,0.045879048264765854,0.05041474255159906,0.05088624625878513,0.038128860873824943
8,0.12404221155892414,0.24601081383185386,0.25603660587361754,0.24751190708798998
9,0.11760525069759087,0.23642213345851848,0.24028421986669446,0.2364330234720753
10,0.06739873381675954,0.11014655948244167,0.11429310852219388,0.09884045359636806
11,0.059037943998850095,0.0691020195978217,0.07175421008857719,0.05897227955947726
12,0.14265287628626144,0.2666762826845708,0.2741113436721343,0.26576782341028815
13,0.14045211403352453,0.23202874224126935,0.23412952161844947,0.2245407873971761
14,0.07308909751200798,0.07624888870222912,0.07739309760227597,0.06809722545477448
15,0.13256311318738223,0.24891952564371944,0.25256675015228336,0.24666152148160403
16,0.11392522136746175,0.2574261696231557,0.25645918444452565,0.23952862218332738
17,0.1088709421593792,0.24541529460924916,0.24942054402249003,0.23730413558630592
18,0.11491063491051368,0.30562235264864035,0.30982574301121557,0.2939173543893693
19,0.030419028378994795,0.03193252715339534,0.03207098405755382,0.039747192910241425
20,0.12918489363885344,0.24495404421041778,0.25407902417611894,0.24612817882131421
21,0.08630229543414702,0.2175485734921988,0.23820109986512972,0.21719786204645275
22,0.14461087960624686,0.2522092976378648,0.2674649927684952,0.2532318554372791
23,0.11185363832906936,0.22784398760814362,0.2381814734358676,0.22533123376685793
24,0.07055472806629293,0.19864603443892792,0.19955675316112587,0.19039674560150788
25,0.13846486140776726,0.23588889497874277,0.24270792450036127,0.23389468735078922
26,0.08828841284298372,0.17471863641094287,0.1708001791868481,0.15853443794706856
27,0.13981850154200148,0.19872671701501676,0.19984164009498706,0.18387680366727266
28,0.066812257567049,0.08472118864689049,0.08762902370807024,0.07799278996245307
29,0.04527421094709572,0.04718842273575885,0.047724696193577,0.04124680529584601
