,model,model_type,features_included,alpha,q_squared
10,Lasso(alpha=0.021243328914053297),Lasso,All Features,0.0212,0.28749220282542054
6,Lasso(alpha=0.02330379192011235),Lasso,Communication,0.0233,0.16748445492796338
8,Lasso(alpha=0.02330379192011235),Lasso,Task Complexity + Communication,0.0233,0.16748445492796338
1,Lasso(alpha=0.02825347260445763),Lasso,Team Composition,0.0283,0.02411373150849938
5,Lasso(alpha=0.02825347260445763),Lasso,Team Composition + Task Complexity,0.0283,0.02411373150849938
0,Ridge(alpha=0.02825347260445763),Ridge,Team Composition,0.0283,0.013753509748307025
4,Ridge(alpha=0.02825347260445763),Ridge,Team Composition + Task Complexity,0.0283,0.011361014399293823
3,Lasso(alpha=0.006481944012489991),Lasso,Task Complexity,0.0065,-0.0013405321672208537
2,Ridge(alpha=0.006481944012489991),Ridge,Task Complexity,0.0065,-0.0024401993964380253
11,Ridge(alpha=0.021243328914053297),Ridge,All Features,0.0212,-5.895211899108977
7,Ridge(alpha=0.02330379192011235),Ridge,Communication,0.0233,-6.715209396529517
9,Ridge(alpha=0.02330379192011235),Ridge,Task Complexity + Communication,0.0233,-7.532778236686603
