conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
22u5YpwA485h5dMwh1,358,28,149,4,1,"[1142 1668  240   61 1641 1394  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,1142,53,268,8,4,"[ 358 1668  240   61 1641 1394  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,1668,55,260,6,4,"[ 358 1142  240   61 1641 1394  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,240,62,313,4,3,"[ 358 1142 1668   61 1641 1394  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,61,22,99,5,1,"[ 358 1142 1668  240 1641 1394  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,1641,35,183,7,2,"[ 358 1142 1668  240   61 1394  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,1394,24,104,6,1,"[ 358 1142 1668  240   61 1641  793 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,793,3,14,3,0,"[ 358 1142 1668  240   61 1641 1394 1250  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,1250,21,107,3,0,"[ 358 1142 1668  240   61 1641 1394  793  206 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,206,17,85,3,0,"[ 358 1142 1668  240   61 1641 1394  793 1250 1426  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,1426,6,28,3,0,"[ 358 1142 1668  240   61 1641 1394  793 1250  206  536  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,536,28,119,3,1,"[ 358 1142 1668  240   61 1641 1394  793 1250  206 1426  225  835 1430
  514  758 1860  378  163]"
22u5YpwA485h5dMwh1,225,37,185,4,3,"[ 358 1142 1668  240   61 1641 1394  793 1250  206 1426  536  835 1430
  514  758 1860  378  163]"
