conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
WQAenvou2Q5yn2NXF,rjeaEWLcJHLnSqpQc,8,39,3,2,"['QyMDL6jD2FHdrGr9n' '3NNPePkK6pNxQJMaG' '88SGaY3zdtqM3kF8p'
 'KWmxcFpwsGkCknr9F' 'ecMtwBH6RqPfYnsPX' '9WorGo8keCFvuEBrk'
 'K9WeQn5Aj6GpR4iRr' 'nsxN7h69cv3dPxqQe' '7MqoPENN9q9C5nKtr']"
WQAenvou2Q5yn2NXF,ecMtwBH6RqPfYnsPX,17,84,4,0,"['QyMDL6jD2FHdrGr9n' '3NNPePkK6pNxQJMaG' '88SGaY3zdtqM3kF8p'
 'KWmxcFpwsGkCknr9F' 'rjeaEWLcJHLnSqpQc' '9WorGo8keCFvuEBrk'
 'K9WeQn5Aj6GpR4iRr' 'nsxN7h69cv3dPxqQe' '7MqoPENN9q9C5nKtr']"
WQAenvou2Q5yn2NXF,9WorGo8keCFvuEBrk,15,85,4,0,"['QyMDL6jD2FHdrGr9n' '3NNPePkK6pNxQJMaG' '88SGaY3zdtqM3kF8p'
 'KWmxcFpwsGkCknr9F' 'rjeaEWLcJHLnSqpQc' 'ecMtwBH6RqPfYnsPX'
 'K9WeQn5Aj6GpR4iRr' 'nsxN7h69cv3dPxqQe' '7MqoPENN9q9C5nKtr']"
WQAenvou2Q5yn2NXF,K9WeQn5Aj6GpR4iRr,2,8,1,0,"['QyMDL6jD2FHdrGr9n' '3NNPePkK6pNxQJMaG' '88SGaY3zdtqM3kF8p'
 'KWmxcFpwsGkCknr9F' 'rjeaEWLcJHLnSqpQc' 'ecMtwBH6RqPfYnsPX'
 '9WorGo8keCFvuEBrk' 'nsxN7h69cv3dPxqQe' '7MqoPENN9q9C5nKtr']"
WQAenvou2Q5yn2NXF,nsxN7h69cv3dPxqQe,6,25,1,0,"['QyMDL6jD2FHdrGr9n' '3NNPePkK6pNxQJMaG' '88SGaY3zdtqM3kF8p'
 'KWmxcFpwsGkCknr9F' 'rjeaEWLcJHLnSqpQc' 'ecMtwBH6RqPfYnsPX'
 '9WorGo8keCFvuEBrk' 'K9WeQn5Aj6GpR4iRr' '7MqoPENN9q9C5nKtr']"
WQAenvou2Q5yn2NXF,7MqoPENN9q9C5nKtr,4,16,1,0,"['QyMDL6jD2FHdrGr9n' '3NNPePkK6pNxQJMaG' '88SGaY3zdtqM3kF8p'
 'KWmxcFpwsGkCknr9F' 'rjeaEWLcJHLnSqpQc' 'ecMtwBH6RqPfYnsPX'
 '9WorGo8keCFvuEBrk' 'K9WeQn5Aj6GpR4iRr' 'nsxN7h69cv3dPxqQe']"
f6z4nF43CjnsLewew,ygFCZFdhR3H4QfCLL,18,98,4,0,"['h3Ew5tYzYGfKjurcx' 'J4ErDKYinEtSwN4QS' 'sSt2cxj92nRYjhmHZ'
 'eNSPizDqEyHJShvYe' 'jxC4hZpmxXMAAaguZ' 'uaw9iLLotQF4Nybck'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,h3Ew5tYzYGfKjurcx,23,103,8,0,"['ygFCZFdhR3H4QfCLL' 'J4ErDKYinEtSwN4QS' 'sSt2cxj92nRYjhmHZ'
 'eNSPizDqEyHJShvYe' 'jxC4hZpmxXMAAaguZ' 'uaw9iLLotQF4Nybck'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,J4ErDKYinEtSwN4QS,1,2,1,0,"['ygFCZFdhR3H4QfCLL' 'h3Ew5tYzYGfKjurcx' 'sSt2cxj92nRYjhmHZ'
 'eNSPizDqEyHJShvYe' 'jxC4hZpmxXMAAaguZ' 'uaw9iLLotQF4Nybck'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,sSt2cxj92nRYjhmHZ,10,52,2,1,"['ygFCZFdhR3H4QfCLL' 'h3Ew5tYzYGfKjurcx' 'J4ErDKYinEtSwN4QS'
 'eNSPizDqEyHJShvYe' 'jxC4hZpmxXMAAaguZ' 'uaw9iLLotQF4Nybck'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,eNSPizDqEyHJShvYe,6,38,1,0,"['ygFCZFdhR3H4QfCLL' 'h3Ew5tYzYGfKjurcx' 'J4ErDKYinEtSwN4QS'
 'sSt2cxj92nRYjhmHZ' 'jxC4hZpmxXMAAaguZ' 'uaw9iLLotQF4Nybck'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,jxC4hZpmxXMAAaguZ,7,27,1,0,"['ygFCZFdhR3H4QfCLL' 'h3Ew5tYzYGfKjurcx' 'J4ErDKYinEtSwN4QS'
 'sSt2cxj92nRYjhmHZ' 'eNSPizDqEyHJShvYe' 'uaw9iLLotQF4Nybck'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,uaw9iLLotQF4Nybck,4,14,1,0,"['ygFCZFdhR3H4QfCLL' 'h3Ew5tYzYGfKjurcx' 'J4ErDKYinEtSwN4QS'
 'sSt2cxj92nRYjhmHZ' 'eNSPizDqEyHJShvYe' 'jxC4hZpmxXMAAaguZ'
 'qAFFYRuEuz3MrjKxe']"
f6z4nF43CjnsLewew,qAFFYRuEuz3MrjKxe,2,10,1,0,"['ygFCZFdhR3H4QfCLL' 'h3Ew5tYzYGfKjurcx' 'J4ErDKYinEtSwN4QS'
 'sSt2cxj92nRYjhmHZ' 'eNSPizDqEyHJShvYe' 'jxC4hZpmxXMAAaguZ'
 'uaw9iLLotQF4Nybck']"
pJHpw7o6SwFmv4bf7,LQyH75jGgRf5YxMBR,13,60,4,0,"['nWgLi2fhS7BXYmN4h' '9xfgh5uspoq4Yw7qD' 'eyguSCbmu97YYyvuc'
 'GZFuTa5qZrQD5xCg3' 'Yev6Wh83zFKbqJXQz']"
