conversation_num,discursive_diversity,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
vWn8GPE4uD5DRYk3C,0.8347415324983971,1,Mixed,Low,Low,Low,High,4,Easy [Corresponds to 'Hard' in PNAS],603.0,229.0,2.633187772925764,NULL_TIME
BzpFKDJHHYFBA7zpg,,1,Low,Low,Low,High,High,4,Easy [Corresponds to 'Hard' in PNAS],643.0,101.0,6.366336633663367,NULL_TIME
fRMomjA9rjYGiy69P,0.8348734243581578,1,Low,Mixed,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],503.0,192.0,2.6197916666666665,NULL_TIME
8EqTfbc3Yvri8LgJ3,,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],498.0,266.0,1.8721804511278195,NULL_TIME
JPDwWHqXbEhejsrxS,,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],516.0,62.0,8.32258064516129,NULL_TIME
GEZApdceGDYqcQdpb,,1,Low,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],471.0,65.0,7.246153846153846,NULL_TIME
bvtTFEL4WkEPwKewX,,1,Low,High,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],570.0,104.0,5.480769230769231,NULL_TIME
95dKhFkLxgzSZuLAP,0.3106419215576022,1,Low,High,High,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],590.0,398.0,1.4824120603015076,2021-03-10T18:13:59.306Z
ckn6r4LamHPWvBzM5,,1,Low,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],396.0,62.0,6.387096774193548,NULL_TIME
Aj7yLWdEKRRprYzpA,0.9201703036560979,1,Low,Mixed,High,High,Low,3,Easy [Corresponds to 'Hard' in PNAS],436.0,65.0,6.707692307692308,NULL_TIME
M6gSEatzktmEek9Fw,,1,Low,Mixed,High,Low,High,3,Easy [Corresponds to 'Hard' in PNAS],607.0,229.0,2.650655021834061,2021-03-10T18:38:18.099Z
A7fCNrF2tYuSEifkp,0.5440484603753034,1,High,Mixed,Low,Low,Low,5,Easy [Corresponds to 'Hard' in PNAS],541.0,274.0,1.9744525547445253,2021-03-10T18:12:16.299Z
MMNZT2EJJFjgEaHET,0.5606326303853484,1,High,High,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],556.0,236.0,2.3559322033898304,2021-03-10T18:21:13.221Z
TxiK556oQMryKiCg9,0.5296807805295723,1,High,High,Low,High,Low,2,Easy [Corresponds to 'Hard' in PNAS],521.0,130.0,4.007692307692308,2021-03-10T18:37:14.278Z
65ckwTGGaCf7Q6ebJ,0.7866983557293982,1,High,Low,Low,Mixed,High,6,Easy [Corresponds to 'Hard' in PNAS],558.0,216.0,2.583333333333333,2021-03-10T18:11:56.792Z
7hp4cP7sFLCeZrNSk,0.3610150028885265,1,High,Mixed,Low,High,High,6,Easy [Corresponds to 'Hard' in PNAS],583.0,181.0,3.220994475138121,2021-03-10T18:13:31.144Z
RsnSnpZrHwxXQn2Fk,0.5280962489849441,1,High,Low,Low,Low,High,6,Easy [Corresponds to 'Hard' in PNAS],568.0,181.0,3.138121546961326,2021-03-10T18:21:49.015Z
dPTkrL4PwoMEuPeiY,0.8358213119618624,1,High,Mixed,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],652.0,390.0,1.671794871794872,2021-03-10T18:39:17.101Z
qQju8bJC4DKFjnha5,0.5778729951456213,1,High,High,Mixed,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],547.0,210.0,2.604761904761905,2021-03-10T18:20:48.021Z
