conversation_num,discursive_diversity,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
p9DaHn59yYinR244G,0.9109229793485657,1,Mixed,Mixed,Low,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],649.0,168.0,3.863095238095238,NULL_TIME
KRBxELippfQyYaYN8,0.2602969534206403,1,Mixed,Low,Mixed,Low,High,2,Easy [Corresponds to 'Hard' in PNAS],570.0,482.0,1.1825726141078838,2021-03-19T18:15:52.737Z
GSCcdts6pAobAw7Tz,,1,Mixed,Mixed,Mixed,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],476.0,76.0,6.2631578947368425,NULL_TIME
CqptbfExawp9HRNZv,,1,High,Low,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],622.0,221.0,2.81447963800905,NULL_TIME
LTjZ32Rzst7kA4nWG,0.5725994644210106,1,Low,Low,Low,Low,High,5,Easy [Corresponds to 'Hard' in PNAS],672.0,97.0,6.927835051546392,2021-03-19T18:07:19.111Z
qnpgoBXH6DCS9FsNr,0.42571774198079115,1,Low,Low,Low,Mixed,High,5,Easy [Corresponds to 'Hard' in PNAS],584.0,338.0,1.727810650887574,2021-03-19T18:12:56.882Z
F5cZAceaT8qzY5Qq9,0.8879563709141338,1,Low,Low,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],565.0,154.0,3.668831168831169,2021-03-19T18:16:27.405Z
ZqrTReWHf2f9BvmNg,0.6586169885383197,1,Low,Low,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],628.0,224.0,2.8035714285714284,2021-03-19T18:29:06.792Z
vZ7JoqmTRwWdhoCGz,,1,Low,Low,Low,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],628.0,114.0,5.508771929824562,NULL_TIME
fpe9mtaMKbq5v79KJ,0.9117725593393571,1,Mixed,Mixed,Low,Low,High,2,Easy [Corresponds to 'Hard' in PNAS],477.0,134.0,3.5597014925373136,2021-03-19T18:10:48.187Z
rLicrCiHMCtdK3vNR,0.7085573477604494,1,Mixed,High,Mixed,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],639.0,417.0,1.5323741007194245,2021-03-19T18:15:37.100Z
25PJSrbtr8mkHTvcw,0.8416383458227825,1,Mixed,High,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],604.0,559.0,1.0805008944543828,2021-03-19T18:20:28.277Z
asmpX3RzSmdrLfYJH,,1,Mixed,High,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],611.0,226.0,2.7035398230088497,NULL_TIME
aeP2SCksPLw2BhR39,,1,High,High,Low,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],528.0,273.0,1.934065934065934,NULL_TIME
gFBsmswF5AikXKpH6,,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],620.0,120.0,5.166666666666667,NULL_TIME
xXEZh62pWEGduF2vc,,1,Mixed,High,Mixed,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],586.0,466.0,1.257510729613734,NULL_TIME
6HwoXL7xJaSXs4mYD,0.6894296440725122,1,High,High,High,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],620.0,425.0,1.4588235294117646,2021-03-25T19:17:50.251Z
cKFf7W49dipqyHMSH,0.9182228245549371,1,High,High,High,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],467.0,216.0,2.162037037037037,NULL_TIME
JeLG7nENLJEmR8koT,0.49155234586925345,1,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],670.0,77.0,8.7012987012987,2021-03-25T19:08:02.044Z
HyBshF2YurXNsHXzq,,1,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],535.0,35.0,15.285714285714286,NULL_TIME
3X2NKm3tXzQaYRDXy,0.7401046984671563,1,High,High,Mixed,High,High,2,Easy [Corresponds to 'Hard' in PNAS],458.0,131.0,3.49618320610687,NULL_TIME
fCbTRhchYWvdgyw2w,0.6606087464162191,1,High,High,High,Mixed,Low,6,Easy [Corresponds to 'Hard' in PNAS],460.0,141.0,3.2624113475177303,2021-03-25T19:16:28.304Z
LpsCFjwjjwFhMDijM,,1,High,High,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],566.0,204.0,2.7745098039215685,NULL_TIME
2sRHSauFPHf7FHREn,,1,High,Mixed,Mixed,High,High,9,Easy [Corresponds to 'Hard' in PNAS],486.0,46.0,10.565217391304348,NULL_TIME
NANN4WTAeApt8fNvB,,1,High,Low,Low,Mixed,Low,9,Easy [Corresponds to 'Hard' in PNAS],493.0,84.0,5.869047619047619,NULL_TIME
C95S6tz3tCxgZgGDd,0.44082339802603837,1,High,Low,Low,Mixed,Low,9,Easy [Corresponds to 'Hard' in PNAS],469.0,109.0,4.302752293577981,2021-03-25T19:23:43.427Z
SB52rE4dAhGdTNNvM,,1,High,Low,Low,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],461.0,61.0,7.557377049180328,NULL_TIME
whh3x6MaAhKrwRELN,,1,High,Low,Low,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],453.0,104.0,4.355769230769231,NULL_TIME
qeqHCyqdFHtPA3rtG,0.6814737243075383,1,High,Low,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],585.0,480.0,1.21875,2021-03-25T19:19:05.249Z
H79idQNj4ZwmXHHbu,,1,High,Low,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],652.0,108.0,6.037037037037037,NULL_TIME
aBMSphjkj8FDJt9pa,,1,High,High,High,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],444.0,61.0,7.278688524590164,NULL_TIME
jC6dvxuTjEcjG9fSq,,1,High,High,High,Low,Low,2,Easy [Corresponds to 'Hard' in PNAS],627.0,81.0,7.74074074074074,NULL_TIME
f6H2Y3qxqEktjSTjN,0.6284543391160314,1,Low,High,Low,Mixed,High,9,Easy [Corresponds to 'Hard' in PNAS],590.0,273.0,2.161172161172161,2021-03-25T19:06:23.857Z
h8cmezK4NroR7qiqF,0.3546650457007542,1,Low,High,Low,High,High,9,Easy [Corresponds to 'Hard' in PNAS],649.0,418.0,1.5526315789473684,2021-03-25T19:14:23.006Z
JCHHPHqAPFm5uv7va,0.6840416922850651,1,Low,High,Low,Low,High,9,Easy [Corresponds to 'Hard' in PNAS],643.0,90.0,7.144444444444445,2021-03-25T19:16:58.067Z
qJGBy2xPMMmngLawz,0.7298827243035975,1,High,High,High,Low,High,3,Easy [Corresponds to 'Hard' in PNAS],599.0,127.0,4.716535433070866,NULL_TIME
WrACMQNSJ63nKSv56,0.31952594787496674,1,High,High,High,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],653.0,96.0,6.802083333333333,2021-03-25T19:09:56.853Z
tvEnMSATAZZ5o3gFJ,,1,Low,High,High,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],462.0,71.0,6.507042253521127,NULL_TIME
mZFMk7hRgKsbDRowZ,0.7231446326861196,1,Low,Low,Low,Mixed,Mixed,10,Easy [Corresponds to 'Hard' in PNAS],493.0,232.0,2.125,2021-03-25T19:06:55.521Z
ua7sYhATQxtjNWiz2,0.6573865309132705,1,Low,Low,Low,Low,High,10,Easy [Corresponds to 'Hard' in PNAS],604.0,71.0,8.507042253521126,2021-03-25T19:08:09.832Z
7rkKnGxo4J5rp9Qon,0.6137559228546637,1,Low,Mixed,Mixed,Low,High,10,Easy [Corresponds to 'Hard' in PNAS],548.0,190.0,2.8842105263157896,2021-03-25T19:14:45.056Z
ZLgiKoDZC7FeeafGW,0.5812946373032308,1,Low,Low,Low,Low,High,10,Easy [Corresponds to 'Hard' in PNAS],532.0,188.0,2.8297872340425534,2021-03-25T19:22:00.603Z
MiWfQBFyQnYbTSeRJ,0.9226742050982587,1,Low,Mixed,Low,Low,Low,5,Easy [Corresponds to 'Hard' in PNAS],643.0,104.0,6.182692307692308,2021-03-25T19:33:47.473Z
YWEQcmrzmn7tEFDT2,0.4822747932091347,1,Low,Low,Low,Mixed,High,10,Easy [Corresponds to 'Hard' in PNAS],626.0,322.0,1.944099378881988,2021-03-25T19:10:44.545Z
P2fmuQimhJsCXWKNK,0.5250949345610922,1,Low,Low,Low,Mixed,Low,10,Easy [Corresponds to 'Hard' in PNAS],577.0,564.0,1.0230496453900708,2021-03-25T19:19:25.980Z
PtrbFqBxBwW2a8nwT,0.6788021055405126,1,Low,Low,Mixed,Mixed,Low,10,Easy [Corresponds to 'Hard' in PNAS],519.0,104.0,4.990384615384615,2021-03-25T19:19:13.702Z
vnHQn8s8MSzbmGMTq,0.6253763200194303,1,Mixed,Mixed,Low,Mixed,Low,7,Easy [Corresponds to 'Hard' in PNAS],626.0,204.0,3.0686274509803924,2021-03-25T19:30:26.540Z
HRBSypSbLBdApPbwL,,1,Low,Low,High,Low,High,3,Easy [Corresponds to 'Hard' in PNAS],457.0,148.0,3.0878378378378377,NULL_TIME
3ZiwLPmF9ycSwvWY6,0.4798550688024834,1,Mixed,Low,Low,Mixed,Low,10,Easy [Corresponds to 'Hard' in PNAS],590.0,335.0,1.7611940298507462,2021-03-25T19:08:46.832Z
BjXHZAg6EtqSuEhDX,0.4474120476069443,1,Low,Mixed,Low,Mixed,High,10,Easy [Corresponds to 'Hard' in PNAS],672.0,486.0,1.382716049382716,2021-03-25T19:12:48.717Z
maoPvN6SjCESpugQS,,1,Low,Low,Low,Low,High,10,Easy [Corresponds to 'Hard' in PNAS],525.0,120.0,4.375,2021-03-25T19:15:24.771Z
kjDSFn5SMjSZkGs99,0.5944936872007679,1,Low,Low,Low,Low,Low,10,Easy [Corresponds to 'Hard' in PNAS],581.0,181.0,3.209944751381216,2021-03-25T19:33:01.193Z
2zSFuRFBMtPpeZMhs,,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],670.0,119.0,5.630252100840337,NULL_TIME
RsRRHzSGyDKXwEfvr,0.7428976107986023,1,High,High,Mixed,High,High,9,Easy [Corresponds to 'Hard' in PNAS],477.0,53.0,9.0,2021-03-26T19:12:56.053Z
EfsMqyG2NxP9nkQPA,0.8926935791568793,1,High,High,High,High,High,4,Easy [Corresponds to 'Hard' in PNAS],585.0,183.0,3.19672131147541,2021-03-26T19:33:43.551Z
MydxqokfZ8Tf6Mczy,,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],471.0,204.0,2.3088235294117645,NULL_TIME
SoNLPpnoKpNnfLSjh,,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],444.0,124.0,3.5806451612903225,NULL_TIME
YNx3Bxop8Jhb5o2jE,,1,High,High,High,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],607.0,131.0,4.633587786259542,NULL_TIME
rfb5WJ9A9FzCAJHPr,,1,High,High,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],670.0,330.0,2.0303030303030303,NULL_TIME
EytasFvrWcb4C3SBY,0.9047946737802741,1,Low,Low,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],501.0,218.0,2.2981651376146788,2021-03-26T19:16:08.154Z
N4KGF7vmfJftm7rw6,0.8813316809910624,1,Low,Low,Low,Low,High,3,Easy [Corresponds to 'Hard' in PNAS],650.0,131.0,4.961832061068702,NULL_TIME
ChXd2YLNFFzifoK2J,,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],652.0,137.0,4.759124087591241,NULL_TIME
xxEKLz8ywu4zXWcWf,,1,Mixed,Mixed,Low,Low,Low,2,Easy [Corresponds to 'Hard' in PNAS],515.0,195.0,2.641025641025641,NULL_TIME
uBrccdXFkiSfWwjgf,,1,Mixed,Low,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],564.0,130.0,4.338461538461538,NULL_TIME
LwBzgwdqJTj2mGRNE,,1,Mixed,High,Mixed,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],583.0,138.0,4.22463768115942,NULL_TIME
7x4FC4q7bp4qxPaXK,0.2900714575836872,1,Mixed,High,Low,Low,Low,6,Easy [Corresponds to 'Hard' in PNAS],544.0,438.0,1.2420091324200913,2021-03-26T19:24:02.128Z
t95X6WJpzZpTMXxYd,,1,Low,High,Low,Low,High,9,Easy [Corresponds to 'Hard' in PNAS],515.0,210.0,2.452380952380953,NULL_TIME
96FE5fMgcL7iXjsL6,0.48342502050794084,1,Mixed,High,Low,Mixed,High,7,Easy [Corresponds to 'Hard' in PNAS],561.0,365.0,1.536986301369863,2021-03-26T19:20:58.142Z
e4jfhkZN3Zw5b7bmh,0.5861227195226818,1,Low,High,High,Mixed,Low,9,Easy [Corresponds to 'Hard' in PNAS],672.0,483.0,1.391304347826087,2021-03-26T19:16:44.542Z
nh8KEKW4eaem8cHBx,,1,Mixed,Mixed,Mixed,Mixed,High,9,Easy [Corresponds to 'Hard' in PNAS],467.0,58.0,8.051724137931034,NULL_TIME
MKr2NhcQgXsqQ5LCj,0.6945905167092289,1,Low,Mixed,Low,Mixed,High,9,Easy [Corresponds to 'Hard' in PNAS],525.0,242.0,2.169421487603306,2021-03-26T19:20:08.864Z
5vAq4xMXdiJ8NBoCQ,,1,Low,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],670.0,349.0,1.9197707736389684,NULL_TIME
RJ5qxNbBujW7k4Fr2,,1,Mixed,Low,High,Low,Low,6,Easy [Corresponds to 'Hard' in PNAS],526.0,80.0,6.575,NULL_TIME
dusNm93NvMCm6EMtw,0.7954519295934707,1,Low,Mixed,Low,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],569.0,243.0,2.3415637860082303,2021-03-26T19:34:42.318Z
9RzMSRSyHFSBXfumk,,2,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],670.0,205.0,3.268292682926829,NULL_TIME
cRfH9of7yjFXYej6E,,2,High,High,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],625.0,71.0,8.80281690140845,NULL_TIME
GfhFN97aStrKWDksv,,2,High,High,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],464.0,119.0,3.899159663865546,NULL_TIME
u9KxxuKENgyeWhfyo,,2,High,High,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],504.0,104.0,4.846153846153846,NULL_TIME
8vLv33QtuRrZ8E7TA,0.06602968857892266,2,High,High,High,Low,High,2,Easy [Corresponds to 'Hard' in PNAS],493.0,122.0,4.040983606557377,2021-05-25T17:08:45.545Z
nuACaX9msivx9KtXP,,2,High,High,High,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],583.0,187.0,3.117647058823529,NULL_TIME
sQwhFkF8ucps2rpNc,,2,High,High,High,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],520.0,189.0,2.751322751322751,NULL_TIME
YDzvT8gZByvjtX5fk,,2,High,High,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],500.0,120.0,4.166666666666667,NULL_TIME
SHoT5xgcWEjgZBf5A,0.4968359489214955,2,High,High,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],586.0,438.0,1.3378995433789955,2021-05-25T17:12:16.251Z
ZLZ7tAyzHEHMJ76se,,2,Mixed,Mixed,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],477.0,57.0,8.368421052631579,NULL_TIME
65yFxmSLEmy9h6yTy,,2,High,Mixed,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],471.0,600.0,0.785,NULL_TIME
CxMLFxRoZSHThG5MC,0.8028085703933101,2,High,High,High,High,High,2,Easy [Corresponds to 'Hard' in PNAS],569.0,202.0,2.8168316831683167,NULL_TIME
348Bcf97jQYcnDZJc,,2,High,High,High,High,High,2,Easy [Corresponds to 'Hard' in PNAS],670.0,363.0,1.8457300275482087,NULL_TIME
xL9zmvgizwFn25cEa,0.5413748588283538,2,Mixed,Mixed,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],382.0,100.0,3.82,2021-05-25T17:12:50.646Z
F7mNaf5RWK8Ci2ejb,,2,High,High,Mixed,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],533.0,66.0,8.075757575757576,NULL_TIME
cq9cMJwvXyMzG7WkA,0.5253234744625354,2,High,High,Mixed,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],482.0,208.0,2.3173076923076925,2021-05-25T17:32:32.421Z
rp2Q6syMYi8LmCinf,,2,High,High,Low,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],548.0,307.0,1.785016286644951,NULL_TIME
Nze84k7ixu35SwPPN,,2,Mixed,Mixed,High,Low,Low,6,Easy [Corresponds to 'Hard' in PNAS],527.0,138.0,3.818840579710145,NULL_TIME
qBZyRpnhdCuuWJhRp,0.7005856349699234,2,Low,Low,High,Mixed,Low,6,Easy [Corresponds to 'Hard' in PNAS],550.0,120.0,4.583333333333333,2021-05-25T17:16:43.014Z
TvoX6EzfvJACXv8Px,,2,Low,Low,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],620.0,291.0,2.1305841924398625,NULL_TIME
b83pjfppfz4Kyrs2B,0.5006814670412018,2,High,High,High,High,High,3,Easy [Corresponds to 'Hard' in PNAS],639.0,200.0,3.195,2021-05-25T17:10:30.326Z
HPFE85f8KigaTYx48,0.44380136025237,2,High,High,High,High,High,3,Easy [Corresponds to 'Hard' in PNAS],532.0,300.0,1.7733333333333334,2021-05-25T17:15:34.230Z
4EzYduhwdSEPZmkbA,0.8126353625377167,2,Mixed,High,Mixed,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],512.0,110.0,4.654545454545454,2021-05-25T17:24:17.568Z
wvHWZyonFw3EhhxzZ,,2,High,High,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],635.0,242.0,2.62396694214876,NULL_TIME
SXHjiQ59p2d3hcyru,,2,High,High,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],463.0,60.0,7.716666666666667,NULL_TIME
bPdphrYsJn5SpwHzj,0.8433379750002461,2,Mixed,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],626.0,207.0,3.024154589371981,2021-05-25T17:08:33.893Z
EyivagAmfM59TjDkh,0.5739921943047851,2,Low,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],561.0,128.0,4.3828125,2021-05-25T17:09:48.436Z
H4krQcEugLnsfeWdQ,0.4560810111149553,2,High,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],626.0,494.0,1.2672064777327936,2021-05-25T17:15:42.394Z
x6gvADstGM4H7BRjb,,2,Low,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],542.0,45.0,12.044444444444444,NULL_TIME
LHxMnQzo7qcHmNSd6,,2,High,High,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],626.0,123.0,5.089430894308944,NULL_TIME
k9ogtGiHSDNN7LeGb,0.953998357494573,2,Low,Mixed,Low,High,Low,6,Easy [Corresponds to 'Hard' in PNAS],577.0,69.0,8.36231884057971,NULL_TIME
ayGvDdzXGB7A52SY3,0.8017304908564548,2,Mixed,Low,Low,Low,Low,6,Easy [Corresponds to 'Hard' in PNAS],545.0,97.0,5.618556701030927,NULL_TIME
CsdJDcbap4WLtw84E,,2,High,Mixed,Mixed,High,Low,3,Easy [Corresponds to 'Hard' in PNAS],510.0,42.0,12.142857142857142,NULL_TIME
AFL8H47y8v8kSdKQw,,2,Low,Low,Low,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],542.0,93.0,5.827956989247312,NULL_TIME
iCR2RRYcAYzPjcNQB,0.35495738064587656,2,Mixed,High,High,High,High,3,Easy [Corresponds to 'Hard' in PNAS],574.0,72.0,7.972222222222222,2021-05-26T17:09:05.758Z
LtZCw7y8xZweWqXdi,,2,High,High,High,Low,Low,7,Easy [Corresponds to 'Hard' in PNAS],532.0,44.0,12.090909090909092,NULL_TIME
8XDZxPA3PJvm3Zc98,0.4776343706973004,2,High,High,High,Low,Low,5,Easy [Corresponds to 'Hard' in PNAS],569.0,359.0,1.584958217270195,2021-05-26T17:25:18.097Z
zoijP9Z4yNJ8sRgZq,,2,High,High,High,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],532.0,141.0,3.773049645390071,NULL_TIME
MoXHcnafjW9awka7W,,2,High,High,High,High,High,2,Easy [Corresponds to 'Hard' in PNAS],490.0,382.0,1.2827225130890052,NULL_TIME
YCfKFSiavNYqDMdjX,0.26335179929092,2,High,Mixed,Mixed,High,High,2,Easy [Corresponds to 'Hard' in PNAS],533.0,321.0,1.6604361370716512,2021-05-26T17:14:40.347Z
u93Dx2L7cJdMvRfd4,,2,Mixed,High,Mixed,High,High,2,Easy [Corresponds to 'Hard' in PNAS],598.0,173.0,3.4566473988439306,NULL_TIME
ov73kDDQc2TyPbHrZ,,2,High,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],354.0,86.0,4.116279069767442,NULL_TIME
Tovcajhy8Qoo3sRZN,,2,High,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],641.0,203.0,3.157635467980296,NULL_TIME
eaYR3ZmJ49SwrAxRB,0.660744434780804,2,Mixed,High,High,Mixed,High,10,Easy [Corresponds to 'Hard' in PNAS],583.0,155.0,3.761290322580645,2021-05-26T17:07:34.804Z
gseBSsR9kL7apWJvc,0.7983944790328629,2,Mixed,High,High,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],639.0,254.0,2.515748031496063,2021-05-26T17:20:42.278Z
shquXx4Zw3X4tFMYC,,2,Low,High,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],443.0,185.0,2.3945945945945946,NULL_TIME
5SWJCy4fnKtYwkSBi,0.5703336781833273,2,Low,Mixed,High,Low,Low,6,Easy [Corresponds to 'Hard' in PNAS],577.0,182.0,3.17032967032967,2021-05-26T17:19:52.520Z
KvCssacg6XeadDmpv,0.7512539841128838,2,Low,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],546.0,181.0,3.016574585635359,2021-05-26T17:24:19.226Z
Aifx3qs7Nc9AFHb43,,2,Mixed,High,Low,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],581.0,119.0,4.882352941176471,NULL_TIME
PvAiZvJQWY3yt9Ksc,0.3322367335621313,2,Mixed,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],626.0,349.0,1.7936962750716332,2021-05-26T17:06:42.868Z
taxnYzkCoAHEEcB6i,,2,Mixed,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],533.0,195.0,2.7333333333333334,NULL_TIME
aNCBzgKaQSuy2kQTc,,2,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],672.0,143.0,4.699300699300699,NULL_TIME
wbvzHu7BzNGQN7NLG,0.38918468072506984,2,High,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],586.0,537.0,1.091247672253259,2021-05-26T17:11:49.873Z
dn9fQTk5pMf75HRMc,0.953998460903758,2,Low,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],571.0,305.0,1.872131147540984,NULL_TIME
riJKFjCc6jySe66JY,0.579109377482172,2,High,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],544.0,358.0,1.5195530726256985,2021-05-26T17:16:40.341Z
DabxhKjxRZtXY9xDJ,,2,Mixed,Mixed,Low,Mixed,Low,6,Easy [Corresponds to 'Hard' in PNAS],489.0,71.0,6.887323943661972,NULL_TIME
yssz7YkZbLXDieMpr,0.8877886478963777,2,Low,Low,Low,Mixed,Low,6,Easy [Corresponds to 'Hard' in PNAS],607.0,122.0,4.975409836065574,2021-05-26T17:17:38.936Z
jmJSAmHBtcQjLDNZy,0.8764020476344848,2,Mixed,Mixed,Low,Low,Low,6,Easy [Corresponds to 'Hard' in PNAS],499.0,106.0,4.7075471698113205,2021-05-26T17:24:49.713Z
eNciBHDvJPYjd5nAZ,0.6413246917483576,2,High,High,Mixed,Mixed,Mixed,4,Easy [Corresponds to 'Hard' in PNAS],588.0,172.0,3.4186046511627906,2021-05-26T17:36:50.194Z
uYFp9oHAXzTboGFLX,,3,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],542.0,56.0,9.678571428571429,NULL_TIME
BKLTsNPmgRDgwcHae,0.34983075117331364,3,High,Mixed,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],612.0,362.0,1.6906077348066295,2021-05-27T17:13:27.044Z
Co6rarS36shw62JkG,,3,High,High,Low,High,High,3,Easy [Corresponds to 'Hard' in PNAS],621.0,131.0,4.740458015267175,NULL_TIME
9aAfSrPtkoc57nipD,0.4182500142326808,3,High,High,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],670.0,165.0,4.0606060606060606,2021-05-27T17:48:49.065Z
PtEYuWbRAh9pesiQr,,3,High,High,High,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],550.0,60.0,9.166666666666666,NULL_TIME
quivrLHY76KBHEKWj,0.45797320608401715,3,Mixed,Mixed,Mixed,High,High,2,Easy [Corresponds to 'Hard' in PNAS],611.0,203.0,3.0098522167487687,2021-05-27T17:18:22.333Z
6mPWpLhKiNonKffF5,,3,High,Mixed,High,High,High,2,Easy [Corresponds to 'Hard' in PNAS],433.0,193.0,2.243523316062176,NULL_TIME
nh65Nw2HkBzGjczs9,,3,High,High,High,High,High,2,Easy [Corresponds to 'Hard' in PNAS],649.0,279.0,2.326164874551971,NULL_TIME
dLKShdhEnmYEbFbGo,0.47012084272716664,3,High,Low,Mixed,Mixed,Low,8,Easy [Corresponds to 'Hard' in PNAS],493.0,65.0,7.584615384615384,2021-05-27T17:13:39.878Z
kYPogZquFyHXN4tTC,0.8619273968685975,3,High,Low,Mixed,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],521.0,119.0,4.378151260504202,NULL_TIME
qNAaSfjxEXDsT7QvM,0.4620059901281152,3,High,Mixed,Low,Low,Low,4,Easy [Corresponds to 'Hard' in PNAS],543.0,222.0,2.445945945945946,2021-05-27T17:40:33.518Z
J4H6vNup9DeMsZbG9,0.9068719242300753,3,High,Low,High,Low,Low,3,Easy [Corresponds to 'Hard' in PNAS],500.0,455.0,1.098901098901099,NULL_TIME
hmoBuZDfbRJm4ZSHn,0.40572003639761967,3,High,High,High,High,Low,7,Easy [Corresponds to 'Hard' in PNAS],641.0,212.0,3.0235849056603774,2021-05-27T17:12:40.899Z
CWcuXcsBcQgogF5JF,0.8907604609739902,3,High,Mixed,Low,Mixed,High,7,Easy [Corresponds to 'Hard' in PNAS],670.0,69.0,9.710144927536232,NULL_TIME
J9p4be7t9Kw3jhBj4,,3,High,High,Low,Mixed,Low,7,Easy [Corresponds to 'Hard' in PNAS],626.0,95.0,6.589473684210526,NULL_TIME
K8uRxssoWEFgcXb5j,0.5264373540045963,3,High,Mixed,Low,High,High,7,Easy [Corresponds to 'Hard' in PNAS],400.0,219.0,1.82648401826484,2021-05-27T17:13:05.938Z
yGH3XG5AMfQgwGKLz,0.5880373750043631,3,High,Mixed,Low,High,High,7,Easy [Corresponds to 'Hard' in PNAS],521.0,349.0,1.492836676217765,2021-05-27T17:16:26.070Z
eAqch9L5ubwqGnLEo,0.713430699972928,3,High,High,Low,Low,High,7,Easy [Corresponds to 'Hard' in PNAS],583.0,266.0,2.191729323308271,2021-05-27T17:16:43.168Z
368xWATFH8oapfSjc,0.7510316644448828,3,High,High,Low,Low,High,7,Easy [Corresponds to 'Hard' in PNAS],483.0,119.0,4.0588235294117645,2021-05-27T17:21:05.680Z
