conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
206,pz98WuFjmNt7QsrDL,3,14,2,0,['twkN9mC9iHthKibvG']
206,twkN9mC9iHthKibvG,3,14,1,0,['pz98WuFjmNt7QsrDL']
209,pz98WuFjmNt7QsrDL,2,7,1,0,['AobLTkQyBMhL2XvBf']
209,AobLTkQyBMhL2XvBf,1,4,1,0,['pz98WuFjmNt7QsrDL']
207,AobLTkQyBMhL2XvBf,19,73,4,0,['pz98WuFjmNt7QsrDL' 'twkN9mC9iHthKibvG']
207,pz98WuFjmNt7QsrDL,24,112,7,0,['AobLTkQyBMhL2XvBf' 'twkN9mC9iHthKibvG']
207,twkN9mC9iHthKibvG,5,22,1,0,['AobLTkQyBMhL2XvBf' 'pz98WuFjmNt7QsrDL']
205,pz98WuFjmNt7QsrDL,4,17,1,0,[]
782,ERT7N5jRjfcMa7CCS,67,277,20,1,['kTns9Zy5MNWWTdfQ6' '4Du4Ex7eWS94aovzT']
782,kTns9Zy5MNWWTdfQ6,17,62,6,0,['ERT7N5jRjfcMa7CCS' '4Du4Ex7eWS94aovzT']
782,4Du4Ex7eWS94aovzT,10,33,4,0,['ERT7N5jRjfcMa7CCS' 'kTns9Zy5MNWWTdfQ6']
780,ERT7N5jRjfcMa7CCS,91,374,38,0,['4Du4Ex7eWS94aovzT' 'kTns9Zy5MNWWTdfQ6']
780,4Du4Ex7eWS94aovzT,22,75,11,0,['ERT7N5jRjfcMa7CCS' 'kTns9Zy5MNWWTdfQ6']
780,kTns9Zy5MNWWTdfQ6,24,73,11,0,['ERT7N5jRjfcMa7CCS' '4Du4Ex7eWS94aovzT']
784,ERT7N5jRjfcMa7CCS,12,50,5,0,['kTns9Zy5MNWWTdfQ6' '4Du4Ex7eWS94aovzT']
784,kTns9Zy5MNWWTdfQ6,6,23,2,0,['ERT7N5jRjfcMa7CCS' '4Du4Ex7eWS94aovzT']
784,4Du4Ex7eWS94aovzT,6,23,1,0,['ERT7N5jRjfcMa7CCS' 'kTns9Zy5MNWWTdfQ6']
781,ERT7N5jRjfcMa7CCS,25,111,5,0,['kTns9Zy5MNWWTdfQ6']
781,kTns9Zy5MNWWTdfQ6,2,9,2,0,['ERT7N5jRjfcMa7CCS']
783,ERT7N5jRjfcMa7CCS,17,65,7,0,['kTns9Zy5MNWWTdfQ6' '4Du4Ex7eWS94aovzT']
783,kTns9Zy5MNWWTdfQ6,6,18,4,0,['ERT7N5jRjfcMa7CCS' '4Du4Ex7eWS94aovzT']
783,4Du4Ex7eWS94aovzT,13,41,3,0,['ERT7N5jRjfcMa7CCS' 'kTns9Zy5MNWWTdfQ6']
174,NULL_SPEAKER,1,3,1,0,[]
172,BS3mhzPkSYLBQFSWM,1,4,1,0,[]
171,BS3mhzPkSYLBQFSWM,1,6,1,0,[]
170,NULL_SPEAKER,1,3,1,0,[]
173,zuoJDQTNaHnwhQKrM,10,48,2,0,['BS3mhzPkSYLBQFSWM' 'giCJRafjgrydQ2wHW']
173,BS3mhzPkSYLBQFSWM,4,18,2,0,['zuoJDQTNaHnwhQKrM' 'giCJRafjgrydQ2wHW']
173,giCJRafjgrydQ2wHW,1,2,1,0,['zuoJDQTNaHnwhQKrM' 'BS3mhzPkSYLBQFSWM']
465,NULL_SPEAKER,1,3,1,0,[]
466,NULL_SPEAKER,1,3,1,0,[]
467,NULL_SPEAKER,1,3,1,0,[]
469,NULL_SPEAKER,1,3,1,0,[]
468,NULL_SPEAKER,1,3,1,0,[]
57,NULL_SPEAKER,1,3,1,0,[]
56,NULL_SPEAKER,1,3,1,0,[]
55,9PuBgBYcT9H5KyvEq,19,76,2,0,[]
59,NULL_SPEAKER,1,3,1,0,[]
58,NULL_SPEAKER,1,3,1,0,[]
50,5qjtb3QbKFg7xf6ws,96,434,11,1,['tjXWgtSNYSwKymdCf' '2zNBRu6nkiafZG5xE']
50,tjXWgtSNYSwKymdCf,36,160,6,4,['5qjtb3QbKFg7xf6ws' '2zNBRu6nkiafZG5xE']
50,2zNBRu6nkiafZG5xE,16,62,3,3,['5qjtb3QbKFg7xf6ws' 'tjXWgtSNYSwKymdCf']
51,NULL_SPEAKER,1,3,1,0,[]
52,2zNBRu6nkiafZG5xE,19,70,3,2,['5qjtb3QbKFg7xf6ws' 'tjXWgtSNYSwKymdCf']
52,5qjtb3QbKFg7xf6ws,70,318,8,3,['2zNBRu6nkiafZG5xE' 'tjXWgtSNYSwKymdCf']
52,tjXWgtSNYSwKymdCf,16,59,3,2,['2zNBRu6nkiafZG5xE' '5qjtb3QbKFg7xf6ws']
53,NULL_SPEAKER,1,3,1,0,[]
54,NULL_SPEAKER,1,3,1,0,[]
580,NULL_SPEAKER,1,3,1,0,[]
584,NULL_SPEAKER,1,3,1,0,[]
583,NULL_SPEAKER,1,3,1,0,[]
582,NULL_SPEAKER,1,3,1,0,[]
581,TuNgR6Sd2LCfeJRz2,9,37,4,0,['EPitFAe5WvhbeE9yY' 'viJaf3ggvczpbjkBW']
581,EPitFAe5WvhbeE9yY,3,13,2,0,['TuNgR6Sd2LCfeJRz2' 'viJaf3ggvczpbjkBW']
581,viJaf3ggvczpbjkBW,1,4,1,0,['TuNgR6Sd2LCfeJRz2' 'EPitFAe5WvhbeE9yY']
621,NULL_SPEAKER,1,3,1,0,[]
624,NULL_SPEAKER,1,3,1,0,[]
620,NULL_SPEAKER,1,3,1,0,[]
622,NULL_SPEAKER,1,3,1,0,[]
623,NULL_SPEAKER,1,3,1,0,[]
932,vWncSANXuJsBDgpnq,30,140,4,0,['9eWPXEjzhRtNpGkWS' 'YzzS4TMBRBqpbQLbZ']
932,9eWPXEjzhRtNpGkWS,8,37,3,1,['vWncSANXuJsBDgpnq' 'YzzS4TMBRBqpbQLbZ']
932,YzzS4TMBRBqpbQLbZ,10,41,1,0,['vWncSANXuJsBDgpnq' '9eWPXEjzhRtNpGkWS']
934,vWncSANXuJsBDgpnq,17,81,7,0,['9eWPXEjzhRtNpGkWS' 'YzzS4TMBRBqpbQLbZ']
934,9eWPXEjzhRtNpGkWS,9,43,3,0,['vWncSANXuJsBDgpnq' 'YzzS4TMBRBqpbQLbZ']
934,YzzS4TMBRBqpbQLbZ,7,25,2,0,['vWncSANXuJsBDgpnq' '9eWPXEjzhRtNpGkWS']
933,vWncSANXuJsBDgpnq,5,22,2,0,['9eWPXEjzhRtNpGkWS']
933,9eWPXEjzhRtNpGkWS,4,18,2,0,['vWncSANXuJsBDgpnq']
930,vWncSANXuJsBDgpnq,5,25,1,0,[]
931,9eWPXEjzhRtNpGkWS,7,30,2,0,['vWncSANXuJsBDgpnq' 'YzzS4TMBRBqpbQLbZ']
931,vWncSANXuJsBDgpnq,11,54,2,0,['9eWPXEjzhRtNpGkWS' 'YzzS4TMBRBqpbQLbZ']
931,YzzS4TMBRBqpbQLbZ,2,7,1,0,['9eWPXEjzhRtNpGkWS' 'vWncSANXuJsBDgpnq']
858,ANvmMwpQbwjst4Jnw,10,37,1,0,[]
857,NULL_SPEAKER,1,3,1,0,[]
859,NULL_SPEAKER,1,3,1,0,[]
856,pEgTRNYi3KstA4FAu,9,37,1,0,[]
855,NULL_SPEAKER,1,3,1,0,[]
391,NULL_SPEAKER,1,3,1,0,[]
390,NULL_SPEAKER,1,3,1,0,[]
394,NULL_SPEAKER,1,3,1,0,[]
392,NULL_SPEAKER,1,3,1,0,[]
393,vsRdLepCic7umAMNj,15,77,2,0,['HwWDHdaLbXvphFzFQ']
393,HwWDHdaLbXvphFzFQ,13,83,1,0,['vsRdLepCic7umAMNj']
461,NULL_SPEAKER,1,3,1,0,[]
460,fBWujTupmMcdPQSXu,2,9,1,0,['hpw8H9r565fiTb7GE']
460,hpw8H9r565fiTb7GE,2,11,1,0,['fBWujTupmMcdPQSXu']
462,NULL_SPEAKER,1,3,1,0,[]
464,NULL_SPEAKER,1,3,1,0,[]
463,NULL_SPEAKER,1,3,1,0,[]
793,T9AghEChfZqaqYQ6S,67,252,13,3,['7k2kKAP9CK6qn7ZDQ' 'f2xN8dMx4qQhsx7za']
793,7k2kKAP9CK6qn7ZDQ,58,223,9,1,['T9AghEChfZqaqYQ6S' 'f2xN8dMx4qQhsx7za']
793,f2xN8dMx4qQhsx7za,18,81,6,0,['T9AghEChfZqaqYQ6S' '7k2kKAP9CK6qn7ZDQ']
790,T9AghEChfZqaqYQ6S,5,14,3,0,['f2xN8dMx4qQhsx7za']
790,f2xN8dMx4qQhsx7za,7,30,1,0,['T9AghEChfZqaqYQ6S']
794,7k2kKAP9CK6qn7ZDQ,120,513,24,3,['T9AghEChfZqaqYQ6S' 'f2xN8dMx4qQhsx7za']
794,T9AghEChfZqaqYQ6S,39,162,8,1,['7k2kKAP9CK6qn7ZDQ' 'f2xN8dMx4qQhsx7za']
794,f2xN8dMx4qQhsx7za,12,47,3,0,['7k2kKAP9CK6qn7ZDQ' 'T9AghEChfZqaqYQ6S']
791,7k2kKAP9CK6qn7ZDQ,26,96,3,0,[]
792,7k2kKAP9CK6qn7ZDQ,196,832,28,16,['f2xN8dMx4qQhsx7za' 'T9AghEChfZqaqYQ6S']
