,model,model_type,features_included,alpha,q_squared
8,Lasso(alpha=0.043328618876934906),Lasso,Task Complexity + Communication,0.0433,0.5306864702466003
10,Lasso(alpha=0.04294122759957397),Lasso,All Features,0.0429,0.5151789903656727
6,Lasso(alpha=0.07816286476825779),Lasso,Communication,0.0782,0.46542919338663036
5,Lasso(alpha=0.03271955329230503),Lasso,Team Composition + Task Complexity,0.0327,0.16548432260449997
4,Ridge(alpha=0.03271955329230503),Ridge,Team Composition + Task Complexity,0.0327,0.134332928749063
2,Ridge(alpha=0.0017181171487374175),Ridge,Task Complexity,0.0017,0.09927294631558226
3,Lasso(alpha=0.0017181171487374175),Lasso,Task Complexity,0.0017,0.0992612212648728
1,Lasso(alpha=0.1196640456105479),Lasso,Team Composition,0.1197,0.09325004950163751
0,Ridge(alpha=0.1196640456105479),Ridge,Team Composition,0.1197,0.028504752176167214
11,Ridge(alpha=0.04294122759957397),Ridge,All Features,0.0429,-0.3349443871830906
9,Ridge(alpha=0.043328618876934906),Ridge,Task Complexity + Communication,0.0433,-0.42234763405464393
7,Ridge(alpha=0.07816286476825779),Ridge,Communication,0.0782,-0.7300315113600686
