,model,model_type,features_included,alpha,q_squared
2,Ridge(alpha=0.00045087569941919985),Ridge,Task Complexity,0.0005,0.7808838899328061
3,Lasso(alpha=0.00045087569941919985),Lasso,Task Complexity,0.0005,0.7808830538634168
5,Lasso(alpha=0.05134078084408962),Lasso,Team Composition + Task Complexity,0.0513,0.7610894613647107
8,Lasso(alpha=0.06334490629549565),Lasso,Task Complexity + Communication,0.0633,0.7503259746572999
4,Ridge(alpha=0.05134078084408962),Ridge,Team Composition + Task Complexity,0.0513,0.7485487649302458
10,Lasso(alpha=0.06089897568037515),Lasso,All Features,0.0609,0.74275789397722
6,Lasso(alpha=0.17879557346834526),Lasso,Communication,0.1788,0.053221891848694414
1,Lasso(alpha=0.15174220622770407),Lasso,Team Composition,0.1517,-0.013086252566632872
0,Ridge(alpha=0.15174220622770407),Ridge,Team Composition,0.1517,-0.20918120043400212
9,Ridge(alpha=0.06334490629549565),Ridge,Task Complexity + Communication,0.0633,-0.6362241500666368
11,Ridge(alpha=0.06089897568037515),Ridge,All Features,0.0609,-0.7296754189811765
7,Ridge(alpha=0.17879557346834526),Ridge,Communication,0.1788,-1.141999933592905
