,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Moderate,-0.14557636268427826,-0.14808688428713818,-0.1454671111142286,-0.1390340250402812,-0.12612470234071038,-0.1480642049728041,-0.1396543329976821,-0.13748843750348982,-0.14083097432497524,-0.14818402986777626,-0.14151956033712457,-0.14542813638089994,-0.14461150041027276,-0.14820174568304736,-0.1481481715720428,-0.1480134539600733,-0.14800803196706222,-0.1480909454114144,-0.1472923946271419,-0.1481124040232335,-0.1401012284840924,-0.1470704921705938,-0.14445099711426324,-0.14815219936461266,-0.14682839762948385,-0.1491176740871839,-0.14710998882361082,-0.14324702620624175,-0.14769618508514712,-0.14635536557124013,-0.14678553426079743,-0.14488494816297998,-0.1470381192600747,-0.14639409936080086,-0.14898107437893798,-0.14506501775444894,-0.14739935176789115,-0.14765397797961993,-0.14527112791692748,-0.14406972901688303,-0.14559816680303492,-0.1481456712086756,-0.14670388598681489,-0.14660557096231736,-0.14603356345057292,-0.14805465661748152,-0.1474517610565592,-0.14823626409439697,-0.14554972499638086,-0.14806759903153893,-0.14765995528660827,-0.145836883822765,-0.14621473802547805,-0.1480645048194586,-0.14644857663737662,-0.14698425253642106,-0.14774353803750126,-0.1453675590400115,-0.1480756364728162,-0.1475351979773958,-0.14160150952594935,-0.1480583312470907,-0.13078684659962603,-0.14450476845777221,-0.14115649268383954,-0.14799829594717984,-0.14820867035382418,-0.14517084689127135,-0.14631425392767394,-0.14145548295781657,-0.14830060450975383,-0.14812582329695378,-0.1474213797906792,-0.14793333319644095,-0.14607183331287066,-0.14812539999293128,-0.14536942932008579,-0.14795213102222987,-0.14481566762834255,-0.14801851118851664,-0.14814551532524467,-0.1481206681797847,-0.13540189985714415,-0.14027304502917393,-0.13887083424214644,-0.14547850476828017,-0.1470234285874632,-0.14814620063660455,-0.14588634940399703,-0.14647580475523606,-0.14558883031088504,-0.14319695881529332,-0.1481019500759237
Very high,0.14557636268427826,0.14808688428713818,0.14546711111422858,0.1390340250402812,0.12612470234071038,0.14806420497280404,0.1396543329976821,0.13748843750348982,0.1408309743249752,0.1481840298677763,0.14151956033712454,0.14542813638089994,0.14461150041027276,0.14820174568304736,0.1481481715720428,0.1480134539600733,0.14800803196706222,0.1480909454114144,0.1472923946271419,0.1481124040232335,0.1401012284840924,0.14707049217059376,0.14445099711426324,0.14815219936461263,0.14682839762948385,0.1491176740871839,0.14710998882361082,0.14324702620624175,0.1476961850851471,0.14635536557124013,0.14678553426079743,0.14488494816297998,0.1470381192600747,0.1463940993608009,0.14898107437893796,0.1450650177544489,0.14739935176789115,0.14765397797961993,0.14527112791692748,0.144069729016883,0.1455981668030349,0.1481456712086756,0.14670388598681489,0.14660557096231736,0.1460335634505729,0.14805465661748152,0.14745176105655916,0.14823626409439694,0.14554972499638086,0.14806759903153893,0.14765995528660825,0.14583688382276497,0.14621473802547802,0.1480645048194586,0.14644857663737662,0.14698425253642106,0.14774353803750123,0.1453675590400115,0.14807563647281619,0.1475351979773958,0.14160150952594935,0.1480583312470907,0.13078684659962603,0.14450476845777221,0.1411564926838395,0.14799829594717984,0.14820867035382418,0.14517084689127138,0.14631425392767394,0.14145548295781657,0.1483006045097538,0.14812582329695378,0.1474213797906792,0.14793333319644092,0.14607183331287066,0.14812539999293126,0.14536942932008579,0.14795213102222987,0.14481566762834255,0.1480185111885166,0.14814551532524467,0.1481206681797847,0.13540189985714415,0.14027304502917393,0.13887083424214644,0.14547850476828014,0.1470234285874632,0.14814620063660455,0.14588634940399703,0.14647580475523603,0.14558883031088501,0.14319695881529332,0.14810195007592367
gini_coefficient_sum_num_words,-0.048524314753007884,-0.044414028657399546,-0.04588966444576954,-0.0420271126798211,-0.029104736785889887,-0.04570954494964555,-0.042373884179965876,-0.039608252936090216,-0.04484178866070554,-0.04431561215990822,-0.0331795827965317,-0.04257737319810774,-0.045152780885859944,-0.04446796701647451,-0.04442803893334914,-0.04394611714179577,-0.04330562939458836,-0.04453480393513623,-0.043562220556046916,-0.044029429501871054,-0.04008946594778045,-0.045531092491452145,-0.04757484070314809,-0.04403561933016352,-0.044252940471966686,-0.04435765836709945,-0.04495116854762733,-0.04361056989711856,-0.04387419016593954,-0.045029648912286925,-0.04376608224920593,-0.042289693847572654,-0.04429166628955854,-0.04388621709469773,-0.043710213333746126,-0.045791883471900205,-0.04455243041774324,-0.043039872004049996,-0.046502103338639834,-0.048929188994532344,-0.045756233236620515,-0.0444377603363144,-0.044362548995871325,-0.04710234969463417,-0.042434028514429,-0.043892623960923347,-0.04604517764527638,-0.04437119570526231,-0.04469679285929661,-0.0442107924286934,-0.04333830357087934,-0.042671464936594884,-0.04515382286627173,-0.044440023771802145,-0.04354555884169535,-0.044605614671705845,-0.04440291209698749,-0.04653019595045078,-0.04461502425130221,-0.04474768946178696,-0.04460324996993935,-0.044230945020527566,-0.04324591582685646,-0.044298282492245065,-0.039617477775542254,-0.0438909681040435,-0.0440325333259092,-0.04337926968333032,-0.04199366802038923,-0.03837538076410525,-0.04390332542974437,-0.04427689244789117,-0.043634550418487905,-0.04498857764920601,-0.03321418052585029,-0.04440999842887545,-0.04548662626711836,-0.04429584699958092,-0.04367031113475296,-0.04439012852774785,-0.044428452332330025,-0.044195803848232185,-0.03557227159787611,-0.03587842341302212,-0.04761745970797419,-0.04537864091166527,-0.04343703260807574,-0.04444015011190411,-0.04321738025976922,-0.043706582063717664,-0.04131443326378178,-0.044688300263834295,-0.04470477137232037
gini_coefficient_sum_num_chars,-0.048209314521317145,-0.04240299970953578,-0.04210715897266461,-0.0385627459312815,-0.027022627544676013,-0.043674915304044194,-0.03743177556885855,-0.03675950510371184,-0.04271734118751333,-0.04218343828823936,-0.03258297271380435,-0.04088439760632501,-0.04403119485336769,-0.042468031063256265,-0.04237299092146894,-0.04213580273417781,-0.041685547560288284,-0.04248058765494366,-0.041534052061977855,-0.04213990423001462,-0.042554464215835766,-0.04376465550724135,-0.04599159107583368,-0.04214319688558768,-0.043295411070426934,-0.042418898843625825,-0.04217008080713173,-0.040736513907343244,-0.04163271595829368,-0.04172853842636677,-0.04168289631036563,-0.041279062973758864,-0.04393640595962173,-0.04110870446110308,-0.041238091668104916,-0.043645616838697894,-0.04274289344249466,-0.041210864882307796,-0.04389712136785935,-0.04626520944158092,-0.04527573499860453,-0.04238359754191605,-0.04181489305489468,-0.04375260142193166,-0.04033053764766667,-0.04183682409591398,-0.0440812341904509,-0.042312700768863856,-0.04290943286891322,-0.04248308968384912,-0.04073983414255934,-0.040614961559577015,-0.04262561551196939,-0.04183970430000244,-0.042595734734290985,-0.042059177464193465,-0.04245153316844063,-0.043483275484894036,-0.042564594709556515,-0.042138327119755126,-0.03983966473181037,-0.042027956164933225,-0.04185896580010425,-0.04314228773807153,-0.037189073628631775,-0.042545649902789986,-0.04200021562982763,-0.042954975951460216,-0.039596081554241505,-0.03877248211205914,-0.041820394985238554,-0.04222513413558913,-0.04255316102580742,-0.04288793488670303,-0.030308578898985104,-0.042347768567724264,-0.043075777329644196,-0.042852528750011144,-0.04057968298475266,-0.042294491807867,-0.04237006807648355,-0.042185562131638196,-0.03348446396577459,-0.03254991615020541,-0.0424276337166998,-0.04424963763545117,-0.041903626599651994,-0.04238532640403573,-0.04131687947528774,-0.04218250284519562,-0.03782981853487599,-0.04260442312342225,-0.04266205384207354
gini_coefficient_sum_num_messages,0.0007720882243338854,-0.0004229243324123423,-0.003614518064920965,-0.0007912381150581016,0.0008861155059800667,-0.0006638116561236782,0.000716123222290161,0.0034783569585701,-0.0023766779093731105,-0.0010382755758411803,-0.0056035610992100325,-0.001234657703684569,-0.0028722693914956313,-0.00047422602699539324,-0.00035309289664432406,-0.00032437755670657736,-0.0010662985042362016,-0.0003739319623624372,-0.0018206980092087717,-0.00031328694113869765,-0.002214635237056291,-0.0004144435068103476,-0.0034684727765160114,0.0002780926492593778,-0.0004281079533433839,-0.0002767644768831585,0.00019441868497284583,0.0003642213259339184,2.287398945246752e-06,-2.8169389362044106e-05,-0.000919851178082437,-0.00014189890279611532,-0.0007255244119981907,-0.0008671862586127534,-0.00021946648199134937,-0.00010336981569902468,0.0011867667842360482,0.0003189922201063365,0.002988925055012196,0.00029581817698723367,-0.0007117753359548729,-0.0003755185131184141,0.0009062613720293641,-0.0036318118137013307,-0.0004245720133860126,-4.38834077345282e-05,-0.0004458854332720537,-0.0005776697861309549,-0.0013132153562233628,-0.0005897012553738451,-0.0005599776714443547,-0.001746532826533271,0.00023296538025592908,0.0005415339431265945,-0.002919538905700892,-0.0018077044816731669,0.00015584121169827728,-0.0015998934211885335,-0.0005680921376425598,-0.002728788354816821,-0.0038879154438072466,-0.0006973012580907892,-0.0021273563037144047,-0.00043492394005092104,-0.003755387354596641,-6.639386645433676e-05,-0.00011346607496272483,-0.00021562283848515842,0.003926258848088341,0.0019197590634651924,-0.0010688971774617285,-7.96952090436863e-05,0.0012338789790397094,-0.0013232318517060748,0.0028179939468110596,-0.0003633350548926228,-0.0017393821300136156,-0.0038815462253768687,-0.0009695954682493353,-0.0004357267204688729,-0.00034874393745720766,-0.0003224721945576225,0.0025558235609653883,0.004942371413610579,-0.00029104134454271437,-0.0036765093624672417,-0.00013980721570702737,-0.0003785118805709649,0.0001181081749953251,0.0003259556121173006,-8.567314162485039e-05,0.0015274728071664797,-0.0010448286803286834
average_num_words,-0.00012522572637193273,-0.0014990850031278728,-0.000897841805928932,-0.0028657635963330597,-0.0051358462685244365,-0.0018296288929401678,-0.0008942276565342914,-0.00430207361253767,-0.002576669470836533,-0.001655727187662711,-0.001516730113311656,-0.001913662153386557,-0.002150370175630023,-0.001475274976266077,-0.0015461474050951149,-0.0013491503582065204,-0.0013899297755539351,-0.001608982280179378,-0.002821554268502894,-0.0014689768854056588,-0.00033305409610217065,-0.0015014518787118299,-0.0011839047115725955,-0.001814750468371637,-0.0011538455875650354,-0.0016250264426778786,-0.001390436138456002,-0.002122505276731041,-0.0017359289046014227,-0.00038034251568857744,-0.0017149923915628605,-0.0011412165985120945,-0.0013969536386987495,-0.0018345584540855782,-0.002584926625380436,-0.0040437493387652495,-0.0018113154471355516,-0.0012019211218304172,-0.0010624664963438737,5.758467284234722e-05,-0.0004808549165539189,-0.0015440619104752536,-0.0008598429782843593,-0.0003572613818783703,-0.002006252528862631,-0.0013096434067314429,0.0003802402307367739,-0.0015455792983325393,0.0010366690841510928,-0.0016303242667840886,-0.0014669381769246963,-0.0022872549229272874,-0.002020859556485238,-0.0017427112368345165,0.0011833142822557062,-0.0017966744931869547,-0.0013466088888812351,-0.001012036858614727,-0.001419832151067361,-0.0008277500268867727,-0.003253812308855122,-0.00182818698421058,-0.005772696869524883,-0.004320814854258507,-0.005459792370635206,-0.0018424272053535525,-0.0015120447643622286,-0.000793641519129148,-0.00262399898114871,-0.0021716275276691885,-0.0018109177831099584,-0.0015717097655742482,-0.00044558836964643175,-0.0015604364339952114,-0.0037198102258117435,-0.0015480534568716592,-0.0017373714542512266,-0.001938746420174343,-0.000781228184620876,-0.001503362902529926,-0.0015365055731912294,-0.001518035572435801,-0.0033976129325471345,0.0014222487413271083,-0.0009932208309839288,-0.001602323271849269,-0.0012542361747709656,-0.001542164459500039,-0.0007410174645668486,-0.0013016669995351022,-0.0024098013435716603,-0.002919458656507741,-0.0013658846003614588
stdev_num_words,-0.004418249049896109,-0.007702074401701262,-0.01020175230795664,-0.006550587762218207,-0.00945267525976709,-0.007751594044368889,-0.009301624840659436,-0.005357510443175553,-0.011397240337432646,-0.00789119753576156,-0.005416205982980742,-0.00812774998389969,-0.010506933640598421,-0.007676486763554893,-0.007761686501707391,-0.007842353605834386,-0.0076058171193750974,-0.0077705954985609615,-0.007956438953634177,-0.007690552148328795,-0.005043595403958195,-0.009305195146806002,-0.007269178980526357,-0.008014153182075306,-0.008434070577653125,-0.008517657004184652,-0.007870463544056462,-0.005101599814562105,-0.007755538826951463,-0.007411844188857566,-0.006618255845039186,-0.008375188664934094,-0.008605932909066288,-0.007557192056692457,-0.007421087695749321,-0.008220360685183194,-0.00815255513457279,-0.008567979824538562,-0.0052863001804499266,-0.010235953116595576,-0.008169432390561516,-0.00777126027516234,-0.008276703165424242,-0.0066855093522571775,-0.007977275215390042,-0.007549603076153637,-0.007747886831651275,-0.007732598392459643,-0.00658975724632898,-0.007701894661639271,-0.0055741769863688825,-0.006588298589964443,-0.007281979986919408,-0.007796299452727668,-0.007710977781093199,-0.007554713174440102,-0.00788911923251965,-0.009564876072072698,-0.007595729987690204,-0.009170546128161247,-0.0034847889762552597,-0.007573317342280998,-0.013752366625164849,-0.006826006040003047,-0.0071832269937875046,-0.008541721275362941,-0.007594189035025005,-0.01026726367660678,-0.005786571606233446,-0.008111733969592727,-0.0077877532981209495,-0.007818303905509494,-0.005779191425320063,-0.007971094107230693,-0.0066796914280388454,-0.0077897543955084796,-0.007038166435124279,-0.007505681026729858,-0.004782834468925797,-0.007761044458775873,-0.007769039050020261,-0.007676508479897495,-0.003194537205592155,-0.006095342934922749,-0.007771465259453067,-0.00804151625609622,-0.007844812423587588,-0.007774383304237072,-0.008633452813093625,-0.007472348768954928,-0.009241786393879943,-0.008683547665625537,-0.007343167822291238
min_num_words,-0.031035100961419967,-0.03119737347280165,-0.03304262439529625,-0.027950459557353553,-0.026222756221543818,-0.03127908671703482,-0.026301896387936723,-0.02673618144990486,-0.025319812860980766,-0.030635468259610183,-0.032295931897214185,-0.0302769003311565,-0.031040605594671433,-0.031034610974201054,-0.03119054269526839,-0.03119799707296544,-0.03111725333904517,-0.031063804308797592,-0.030913480966363704,-0.03145691421482413,-0.02341413603393194,-0.027036233048509887,-0.03168473895592176,-0.030509760759485374,-0.03171836706363852,-0.029589625370999625,-0.03098950299024076,-0.024982457222717733,-0.03078608955852505,-0.031139805803250847,-0.026692540620327818,-0.03148259988997736,-0.02956581837381273,-0.03296387824611985,-0.030973830875951392,-0.031168672850648976,-0.03182144577781196,-0.030991746922425886,-0.0320681167304568,-0.02807562574721037,-0.033117245139424115,-0.031163903919092104,-0.030829544659239393,-0.03445344189986948,-0.031252474609892875,-0.03081208523053383,-0.03243039595802666,-0.030953972520087195,-0.03071958342533617,-0.03139986459119907,-0.029625129370635255,-0.030669055573657122,-0.033361098745720366,-0.031686470046741716,-0.030057932855885493,-0.031544665590272594,-0.031031282161054958,-0.029817787493298886,-0.03116730515018243,-0.0353204552653642,-0.03300525377995485,-0.03259952724109613,-0.039499967517525894,-0.03156135317107485,-0.03274526957549635,-0.031166577201313817,-0.031006112536210047,-0.016477246751218935,-0.0323009899425877,-0.034273380264141534,-0.032036548755927576,-0.031079890192468373,-0.032055231769216264,-0.03026626998458852,-0.03486658047501361,-0.031162809950978552,-0.027542200106257433,-0.030334962573262896,-0.030473457980180457,-0.031097699235576946,-0.031170163346469767,-0.031009865095591272,-0.01269741650279704,-0.03372423936600436,-0.034772018975164215,-0.030155490581641263,-0.03140477886201517,-0.03116516461548485,-0.02687987188670183,-0.030516114445559163,-0.030890390419611915,-0.027716167079879613,-0.030030405540599023
max_num_words,-0.00883230742742449,-0.00970631156440301,-0.009362934045145127,-0.006827627826517767,-0.016391372245070368,-0.008380687876826186,-0.015075396355483005,-0.005295113678474503,-0.010665336769217642,-0.00997697594362501,-0.009572933556163721,-0.008551739189109297,-0.011421941765726733,-0.009772989022385593,-0.009836458662527046,-0.010024186952641206,-0.009428918559747285,-0.00986820352410267,-0.011450963687962942,-0.009833757798173581,-0.007619872976040356,-0.009884657827048553,-0.012011273542267085,-0.01029938968891303,-0.010406387539384903,-0.01021120260771218,-0.01023810889019316,-0.0023152050579667606,-0.009945971444456306,-0.011173888845766533,-0.01115904152453084,-0.009732723947885852,-0.009013632423662564,-0.011439534892318318,-0.009020639515311676,-0.009451574896959997,-0.008925139325871086,-0.01064928737329135,-0.009352255114775408,-0.011322531441324564,-0.011551149647436441,-0.009844810111396634,-0.010926340011057738,-0.009960535987571774,-0.009693637896435098,-0.010156212481320537,-0.009214758672695767,-0.009874562886542263,-0.0062251425179371996,-0.009438770017833144,-0.009380199768145477,-0.009001991655745032,-0.009815140215619222,-0.009853372737311138,-0.009653640242246882,-0.00888326155105823,-0.009782830428419403,-0.008853225930401873,-0.00987088367483513,-0.010223641782143947,-0.007319960244318368,-0.00874104779812758,-0.012019181020794878,-0.008879664298402678,-0.012729648827128653,-0.010253857081153322,-0.009835998976831302,-0.01173623709557136,-0.009638391003830066,-0.01149660930657486,-0.009676200636880794,-0.00991633426016647,-0.00792121543157883,-0.010098072817917893,-0.00789098697825358,-0.009884289009303888,-0.006498967100852845,-0.011009336426120411,-0.00735223686597301,-0.009958482095305119,-0.009852278921450294,-0.00988351926874554,-0.012139098764538114,-0.0031629114825415285,-0.009641640970165878,-0.009927822234063511,-0.009994218119533889,-0.00984825325100262,-0.010346351319535721,-0.009504636725468817,-0.012506445542667659,-0.009003587483768984,-0.00966243464430517
average_num_chars,-0.014137430793744594,-0.015042783957269105,-0.013622593196550195,-0.015932044935488228,-0.015538137342043484,-0.015474993408501106,-0.012945685042131358,-0.015455348611965514,-0.015514082954323466,-0.014973916418386173,-0.01401213395955813,-0.015040733753952429,-0.014840017459917653,-0.015073872065351303,-0.015071073821810593,-0.01479277090281441,-0.014749028094686721,-0.015179708010389505,-0.015254883074946837,-0.014986961974126793,-0.01384239120797624,-0.01566954282575639,-0.01388504650420343,-0.015453639015247406,-0.014946843169933586,-0.01490061128125721,-0.014094052487551391,-0.015705803114641054,-0.015312327612958115,-0.01403258369452258,-0.014165656393585978,-0.014937899407973451,-0.015276031976511801,-0.015105321763747282,-0.015779853655029163,-0.015982527835668576,-0.01546955182889476,-0.014926414786836869,-0.015518936263877441,-0.012244499571152565,-0.014525630706713696,-0.01507058414103156,-0.014738240871204573,-0.01331528055718267,-0.014964923494759221,-0.014853054704320745,-0.013649235684595543,-0.015075394879617947,-0.013514167581782394,-0.015026600752190557,-0.015828875932124727,-0.015991918615868565,-0.016008058272608466,-0.015486893663741806,-0.012649704316083657,-0.015396860805654104,-0.014810611289245254,-0.01488766982798782,-0.015043040307065408,-0.013902863549745521,-0.015766265286768853,-0.014963366408418222,-0.017162443445480853,-0.016180758802209233,-0.015835172929458127,-0.015163027308884691,-0.015136498102663737,-0.014876767523790767,-0.016357074162911007,-0.015226273349722123,-0.015592959815180541,-0.015102190752193483,-0.013980987360855674,-0.015080487379880771,-0.017193792621071242,-0.015056063614723815,-0.015325909660975709,-0.014957947485291143,-0.013429070456421536,-0.015065831329871384,-0.015061965533695544,-0.014995841577454653,-0.015414295871815219,-0.010727977290186005,-0.012769343649227313,-0.014352886963970824,-0.015071493267506928,-0.015068108555644107,-0.014155774519796334,-0.014896736918129583,-0.015060499020301564,-0.014336214895407776,-0.014923438619334439
