,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
team_size,-0.04128921931550257,-0.0371748922514206,-0.027410439311838546,-0.0378001555705677,-0.03667253432344934,-0.04236622843607499,-0.03569658646254124,-0.04814789014350908,-0.04424909578309753,-0.03514758113595117,-0.03688361253571826,-0.045061031975049175,-0.03457543065468815,-0.03762110081661154,-0.05254550687672585,-0.04117350618799113,-0.03260124262253859,-0.04234909879751216,-0.0391908370545733,-0.033058844033934345,-0.03774041546503678,-0.03606825050259259,-0.04029989164068467,-0.037054714985893814,-0.035715243298583214,-0.04990626704971859,-0.039420802504417526,-0.03391587536243966,-0.04663933484913456,-0.035313456823108214,-0.030609133828534398,-0.04117651220948146,-0.043298194834370814,-0.037675450552004205,-0.03933469415066283,-0.04047531232713076,-0.04636570520642566,-0.017817611694284585,-0.02153278308394948,-0.03792180407742167,-0.036957664480402046,-0.03786057431859077,-0.0368802151113998,-0.03917561762499631,-0.052061774578147785,-0.04122632592181758,-0.0415338303640765,-0.04355654771692768,-0.0373659178718503,-0.04068326714570014,-0.0409394244049514,-0.044486494614408685,-0.04435223407066773,-0.03683456403424292,-0.04254712685015428,-0.033519994325456444,-0.03747660392369051,-0.03229748318070406,-0.040940569693042175,-0.030826564418289754,-0.03908896098004586,-0.03492787005166286,-0.04231556414193956,-0.039211879101951314,-0.03605000435006791,-0.033546915294354995,-0.033939014650239775,-0.03157530502164861,-0.038746159599983655,-0.040460049037512935,-0.04121259889288271,-0.03822067573176251,-0.03382264187611059,-0.038049786595468496,-0.03785791208875333,-0.038430036131985215,-0.03785716459545906,-0.03907668963572984,-0.03759134876688655,-0.0386973086205369,-0.037560176560451325,-0.039444018130953634,-0.034986795040596576,-0.04114405949430856,-0.028956241429269423,-0.03949336375504777,-0.03708681383118631,-0.05677417056223554,-0.03959960323877134,-0.035679953469842915
vis_img_High,0.008917598835476454,0.0019907916611826316,-0.02497793854036467,0.010705132297486267,-0.00175075685431933,0.017571324329096593,0.004821266647818863,0.02797133480923119,0.034573681660103744,0.021050901213825187,0.0014486797132158837,-0.0008469587751119255,0.02225647839172744,0.01946238075360079,0.049434246413901484,0.0328937623339892,0.011536263632658085,-0.009038201991503132,0.011679336436473443,0.049362246704908914,0.017911878386410826,0.015876917405185556,0.019161535293912648,-0.0004499368813554068,0.016138569050417023,0.014081703809200465,-0.01839434085639444,0.012118848629720154,0.034652719956328376,0.012512264634011469,-0.04623661019751018,0.034244558990044555,0.029761922043900872,0.008572081643816218,0.014520220839588706,0.0020519403912348678,-0.0070895782920048665,0.06759969333797874,0.004494124948463494,0.010745344846361308,0.016969405560282386,0.014088278114590534,0.0054676932200724716,0.010091742977845942,0.015381994488036106,-0.005455383013185591,0.020149305751745485,0.08561631908924838,0.019952442406298065,0.03099939276593656,0.009423689511272855,0.04074354906854207,-0.0012230470936132024,0.0055161096393351915,-0.004150311525344498,-0.003311595041023899,0.019349335793609514,0.027209066741318837,0.02259027745451156,0.04217831469006935,0.015293262654925673,-0.003068419732255101,0.03122112231307446,0.012487026791905262,-0.008830275507718467,-0.009835367547887986,0.0344734079031279,0.010464181127080724,0.007112029444032066,0.04348347556950202,0.010111180118067725,0.014109349111570985,-0.02052461233496479,0.010645917073652414,0.014088122336712208,0.01557291780972609,0.027202158609528602,-0.0003575188407364364,0.018724113621943372,0.012697955040759136,0.004609787101214791,-0.004861146401054046,0.01478189579653345,0.027147283119686068,0.03947959362303641,0.017568494190288202,0.00024204157578381442,0.03476392804137758,0.016022488790819748,-0.012390048375771059
vis_img_Low,0.06735087936674154,0.07965192663179733,0.08732051370447873,0.060077567782156116,0.05127812491204982,0.06412484862593842,0.0910570039739467,0.08223070498806483,0.06285226538579042,0.06146989181736352,0.07937558106526126,0.07421191134230586,0.061125090312483796,0.06292330496973828,0.001990220945952571,0.05531425444460762,0.05973211597147295,0.03276907984408846,0.07529998565336715,0.05996544753950243,0.06067217528645507,0.05169140769889201,0.06315656539680353,0.07366670603935728,0.04993805859009611,0.08077454547034349,0.03983296498762409,0.06057016192314379,0.027717606410903903,0.06652120919511938,0.06832836795642466,0.09378559016280859,0.06606734299668705,0.07408046432948813,0.06402452526770405,0.04746128364070284,0.04894619000141124,-0.012446198906810684,0.10054109642739766,0.07203728256658906,0.06119333849742208,0.05812790174173643,0.05260082606975209,0.06640725340222235,-0.01797035542303564,0.04501529547989382,0.0645312176045992,0.12359887614304892,0.059175680220440056,0.05073770822614146,0.07079581855301571,0.06082192227445362,0.08522985364479665,0.054953502528322186,0.05590051769933995,0.07409408432055199,0.05961798247677243,0.06672616232189223,0.04855405757154943,0.0918558488926672,0.06447229676796373,0.07464209363864314,0.06018572604420078,0.06391920559210566,0.09410271187160903,0.07904720160898389,0.06411408942500123,0.11618243214212251,0.06880805997600659,0.05857987843817126,0.0825299181124435,0.06145966144464848,0.08955111205375949,0.0607856874469673,0.05810327004142915,0.06245142360632559,0.05345669819996362,0.07451572552054384,0.06007650369243659,0.06449592719286812,0.09365559780548337,0.08837163498474206,0.09818086914500225,0.05454454852959153,0.08079233895682288,0.06099749106370456,0.057916686880807665,-0.096320879146068,0.06569005099006818,0.09885654182345983
vis_img_Mixed,-0.07626847820217342,-0.08164271829293447,-0.06234257516407595,-0.07078270007968278,-0.04952736805777523,-0.08169617295497071,-0.09587827062181056,-0.11020203979733362,-0.09742594704587255,-0.0825207930311507,-0.08082426077842711,-0.07336495256712114,-0.08338156870415706,-0.08238568572329086,-0.051424467359820744,-0.08820801677851221,-0.07126837960409532,-0.023730877852582155,-0.08697932208980368,-0.10932769424432504,-0.07858405367279059,-0.0675683251040378,-0.08231810069063535,-0.07321676915796105,-0.06607662764042158,-0.09485624927953344,-0.02143862413126408,-0.07268901055281204,-0.06237032636720243,-0.07903347382911083,-0.022091757758917707,-0.12803014915292987,-0.09582926504053642,-0.08265254597330028,-0.078544746107254,-0.04951322403195556,-0.04185661170943379,-0.05515349443113067,-0.10503522137582365,-0.08278262741296892,-0.07816274405765564,-0.07221617985628731,-0.05806851928985688,-0.07649899638001062,0.0025883609349559595,-0.039559912466742946,-0.08468052335631174,-0.20921519523238782,-0.07912812262670481,-0.0817371009920004,-0.08021950806426556,-0.10156547134292769,-0.08400680655117983,-0.060469612167698736,-0.05175020617397909,-0.0707824892794567,-0.07896731827032145,-0.0939352290631442,-0.07114433502595983,-0.13403416358277634,-0.07976555942291944,-0.07157367390631045,-0.09140684835719559,-0.07640623238395011,-0.08527243636387331,-0.0692118340610349,-0.09858749732807398,-0.1266466132692533,-0.07592008941996321,-0.10206335400757213,-0.09264109823055403,-0.0755690105561814,-0.06902649971874343,-0.07143160452065067,-0.07219139237807874,-0.07802434141596012,-0.08065885680941666,-0.07415820667972332,-0.07880061731432553,-0.07719388223356985,-0.09826538490667455,-0.08351048858372273,-0.1129627649415734,-0.08169183164916345,-0.12027193257988572,-0.07856598525394577,-0.05815872845654976,0.06155695110465474,-0.08171253978088806,-0.08646649344770758
int_verb_High,0.1598957768545919,0.16407302708401955,0.17226275917898445,0.15450382228781773,0.14150258037603086,0.16864398589817764,0.1514114512486181,0.13610299643247448,0.15748477723591114,0.1443856898175918,0.14544524303950312,0.13906978066554418,0.14313543952096042,0.15783869544051013,0.18998906337989957,0.13955285015628272,0.15089706442196477,0.1774760469291119,0.16558503004133363,0.19292785011210686,0.14659797523818904,0.13673232346493894,0.15306877333298236,0.14059163833531577,0.13451993967574233,0.13455622179539986,0.14946687821025392,0.1510490000477983,0.17390764915399876,0.15064808719510436,0.11128622597533212,0.17476915108050353,0.1517745571099395,0.1449779163479886,0.15167526744458198,0.1650717124991282,0.125877682030833,0.17782378747461977,0.1442976525499248,0.15205967505863244,0.1587434906870371,0.15205586214973185,0.143853248115878,0.15686012597218402,0.09047285190983931,0.17851845184840617,0.15593670489439232,0.18762844216130906,0.14392019864475497,0.18527183401479574,0.15868473962065968,0.14948415315093805,0.14403849522647577,0.15895721286099687,0.15380679282539966,0.16079709611830734,0.14471163902843343,0.13753028925297148,0.1359260134067405,0.1367588752027037,0.15132103390353904,0.16525316298096213,0.1695304001082217,0.15326690184829964,0.17522455823252003,0.17063895745391078,0.14732224889002296,0.1670577820812272,0.13657904504339952,0.1447576315312436,0.13350639408699536,0.15175266862585973,0.08239007279202666,0.14936638657435952,0.15205810365952874,0.15316240756400765,0.1795465038562109,0.12060366202657714,0.14553210105787162,0.1534400648559706,0.1491105759913755,0.14234584301862546,0.1787589109376108,0.1649953594860302,0.1822873524252775,0.14837948562683237,0.14051063436477232,0.042004903007787114,0.1507957126791661,0.1788930428098717
int_verb_Low,-0.028888723046462235,-0.0446377118547868,-0.08727179442650615,-0.03802461688927481,-0.04039144601131521,-0.03941404153535695,-0.0458074890226744,-0.041097631845278475,-0.042229814913712034,-0.018599197307546864,-0.043644442556974895,-0.011097315831442734,-0.015358734689572884,-0.0423548345277962,-0.09924941601731968,-0.009592479905329685,-0.03378807962392529,-0.04923800807760637,-0.06779955219291546,-0.0710840766112474,-0.04248551057614237,-0.0055510581037269986,-0.03841649130746387,-0.017008366355418802,-0.0008289603325464448,-0.00903359431336761,-0.03271893276924743,-0.03456211741224435,-0.07328571700563137,-0.03833265527473003,-0.02973014589649972,-0.07565767335715534,-0.05237577433651868,-0.026002102091586363,-0.03775264384822485,-0.043484903577015184,-0.03682938910108284,-0.001936942570872825,-0.05515371243640008,-0.03882440664180224,-0.04044379341066445,-0.033997166853145744,-0.04055371166961221,-0.031627863103649914,0.027861614594591366,-0.03696423745032506,-0.040175768418590704,-0.009918525706211557,-0.04531867440458738,-0.051814814095654735,-0.04114832692693519,-0.061652768326352865,-0.04734866618262576,-0.039241271841893896,-0.014532302373530008,-0.05953862270899205,-0.04448130795926622,-0.039197056082150426,-0.006678004620107182,-0.04006531727522457,-0.03643232586437103,-0.028418753607955254,-0.051063143892588696,-0.04161797655960587,-0.05125124790725466,-0.024952791006661684,-0.060080001644418894,-0.04252588574271106,-0.03065523312776072,-0.05791687115617341,-0.009978819416509162,-0.036016308668523275,-0.007269943851695406,-0.037917251115573286,-0.033982239337201646,-0.037901630266222223,-0.04947957167202816,-0.02365630820662284,-0.04361323578695805,-0.03524638507791936,-0.053953679639757814,-0.0478463819074552,-0.065692950246555,-0.042789759484139905,-0.037694616142773245,-0.0410214445406899,-0.02888270976421094,0.056436076961587305,-0.035294163311953265,-0.05342688232795583
int_verb_Mixed,-0.13100705380818253,-0.11943531522934643,-0.08499096475253141,-0.11647920539865256,-0.10111113436473312,-0.1292299443629506,-0.1056039622259779,-0.09500536458725631,-0.11525496232225609,-0.12578649251006863,-0.10180080048257883,-0.1279724648341261,-0.1277767048314246,-0.1154838609128527,-0.09073964736258149,-0.12996037025096593,-0.11710898479810747,-0.1282380388516159,-0.09778547784844122,-0.12184377350105045,-0.10411246466208689,-0.13118126536124108,-0.11465228202557477,-0.1235832719798968,-0.13369097934325497,-0.12552262748204113,-0.11674794544108004,-0.11648688263556327,-0.10062193214839067,-0.11231543192041181,-0.08155608007888966,-0.09911147772337947,-0.09939878277345982,-0.11897581425640219,-0.11392262359640355,-0.12158680892222039,-0.08904829292970576,-0.1758868449037945,-0.0891439401136028,-0.11323526841684203,-0.11829969727647587,-0.11805869529661983,-0.10329953644629698,-0.12523226286855668,-0.11833446650451024,-0.1415542143982015,-0.11576093647585528,-0.1777099164551156,-0.09860152424018653,-0.13345701991927686,-0.11753641269381056,-0.08783138482460975,-0.09668982904387674,-0.11971594101918928,-0.13927449045189313,-0.10125847340937469,-0.10023033106918629,-0.09833323317082632,-0.12924800878667053,-0.09669355792755498,-0.11488870803918605,-0.13683440937300473,-0.11846725621573753,-0.11164892528873666,-0.12397331032536503,-0.145686166447252,-0.08724224724565237,-0.12453189633861768,-0.10592381191572817,-0.0868407603751296,-0.1235275746704829,-0.11573635995739094,-0.07512012894039367,-0.11144913545875362,-0.11807586432236304,-0.1152607772978456,-0.13006693218432047,-0.09694735382002825,-0.10191886527095563,-0.11819367977806615,-0.09515689635167546,-0.09449946111119674,-0.11306596069115127,-0.12220560000195949,-0.1445927362825056,-0.10735804108620674,-0.11162792460059712,-0.0984409799694132,-0.11550154936722122,-0.12546616048200432
ort_img_High,-0.2591168810625468,-0.2661320459825178,-0.24217286583612688,-0.260286394821012,-0.24810291888665914,-0.28929972182085517,-0.22404871300277435,-0.19924533841986355,-0.2301427866619942,-0.2626429137280806,-0.25555708691185364,-0.25635038459119514,-0.2630658970452635,-0.2660159620885038,-0.2708373574601819,-0.2663865103557191,-0.2277637546365912,-0.26579122102344127,-0.25950167338018243,-0.2985118423762797,-0.2612709331643482,-0.26040352963076263,-0.2533307420967314,-0.2550565189014877,-0.26043210713502063,-0.2619248024771321,-0.20427280826506514,-0.23507469490625185,-0.2663895818481262,-0.27076243600598365,-0.11450908056999592,-0.2751454662552293,-0.26702441087325474,-0.2588957772669506,-0.26520984922759483,-0.26311956317356133,-0.29879341710786034,-0.2751292649932842,-0.4302688690363171,-0.25042297289965476,-0.26643437087877575,-0.22966587582076173,-0.25295519593212584,-0.2590856284282166,-0.2162851906758968,-0.3308297390649523,-0.24795062786944366,-0.3056630757853414,-0.2618411604026355,-0.29077230691371575,-0.2643281140746695,-0.27171784312174835,-0.25593142504438054,-0.2603996004630406,-0.2537564885838582,-0.2521687743856014,-0.26167262473563935,-0.29080779788996713,-0.26219486040501044,-0.26041366427459506,-0.2641099550305509,-0.2560355358949796,-0.27767374604927786,-0.2596382317571824,-0.2714128962103348,-0.2543915386369531,-0.2676539423042723,-0.34169890332605823,-0.2468047359828791,-0.2699919281557784,-0.25905119034143026,-0.24878259922045756,-0.19747637710949265,-0.2575600663998819,-0.22952454587988827,-0.26197200513179264,-0.28522896939604225,-0.23251853282208115,-0.26149790896646646,-0.2598139236899891,-0.25750975704997675,-0.25381918244661594,-0.28021451983950035,-0.2753320231022778,-0.21408892186287065,-0.2614949230732075,-0.29869245350855494,-0.19651570541619132,-0.26705272616763187,-0.2731501211131863
ort_img_Low,0.048791733401432065,0.06173985056600461,0.051763950512097305,0.05709158962246884,0.06330820665956534,0.07184923154648114,0.02123694719668814,0.10694866977529119,0.043450821217954294,0.05776128261244391,0.05360966794020123,0.057605794943082995,0.05868297996273793,0.05466812894500934,0.079224269330594,0.06230061497502179,0.031586228796346975,0.07645097447880818,0.051023911256467255,0.06700908016468841,0.05558766979651496,0.05275541324270412,0.05072760442949547,0.051532435434120415,0.0527988748909877,0.050303268905967875,0.03011138446608958,0.03629021596368396,0.06802253354707481,0.05639423810709315,0.14377656605092606,0.057628214006546045,0.06862977570510366,0.048956697771368615,0.055679702676032845,0.06496486393283217,-0.004642637582973157,0.024571872147047303,0.13484619286898047,0.0484807270237427,0.057662031940756406,0.03560988449076261,0.05159603487543817,0.049142098943230274,0.04457839497275633,0.009464784586741264,0.050869513519554876,0.04357189964476876,0.05726955882832837,0.08211537028124463,0.05960256159018219,0.05701348267550553,0.06046728995324275,0.06411952944378754,0.036490236061704935,0.05215181428571632,0.05677246175760357,0.005767380070066982,0.05362618840193028,0.02508130265599374,0.0487318309431874,0.046363407681088376,0.06286816581134723,0.05121396195340229,0.07001405379302149,0.04396196155015462,0.04905800172975036,-0.031382594566465576,0.04001749549240238,0.050346022857538,0.04422623892685105,0.04615770985888538,-0.008405571574280332,0.05483874301942886,0.03553190441519357,0.05378231652939069,0.07568838002938166,0.026754992687439343,0.05625713643446083,0.051290210661574846,0.06253461755771367,0.057008974353778094,0.05778110045258566,0.06516259917094266,0.1207328051598161,0.05585432289397788,0.06293906292867343,-0.04012024234763251,0.045710724840553385,0.07273599273789826
ort_img_Mixed,0.21032514766102867,0.20439219541642673,0.19040891532394633,0.20319480519849895,0.18479471222700997,0.21745049027439317,0.2028117658060677,0.09229666864458116,0.18669196544399097,0.20488163111553523,0.20194741897153837,0.19874458964802832,0.20438291708243356,0.2113478331433976,0.1916130881294906,0.20408589538058264,0.1961775258401995,0.18934024654456677,0.20847776212362118,0.23150276221150348,0.20568326336773612,0.20764811638796876,0.20260313766718732,0.20352408346724118,0.20763323224394623,0.21162153357108457,0.17416142379890476,0.1987844789425174,0.1983670483009763,0.21436819789883169,-0.029267485480982944,0.21751725224859939,0.19839463516803588,0.2099390794954258,0.2095301465514979,0.19815469924065013,0.3034360546908681,0.2505573928461061,0.29542267616729334,0.20194224587590018,0.20877233893793254,0.19405599132990112,0.20135916105662352,0.2099435294848992,0.17170679570305866,0.3213649544782536,0.197081114349821,0.2620911761404655,0.20457160157421322,0.20865693663240173,0.204725552484395,0.21470436044615887,0.19546413509104824,0.1962800710191732,0.21726625252206852,0.2000169600998266,0.20490016297792749,0.28504041781995704,0.20856867200298554,0.2353323616185131,0.21537812408729393,0.2096721282138105,0.21480558023784596,0.20842426980368225,0.20139884241724426,0.21042957708673846,0.21859594057443743,0.3730814978926447,0.20678724049039826,0.21964590529817893,0.2148249514144927,0.20262488936153042,0.2058819486836946,0.20272132338037616,0.19399264146462453,0.20818968860234024,0.20954058936658096,0.20576354013456488,0.20524077253192502,0.20852371302831424,0.19497513949216744,0.1968102080927308,0.22243341938686426,0.21016942393127486,0.09335611670306658,0.2056406001791296,0.23575339057983694,0.23663594776373081,0.22134200132715012,0.20041412837520925
