,model,model_type,features_included,alpha,q_squared
2,Ridge(alpha=0.0032407818737512834),Ridge,Task Complexity,0.0032,0.20905980291284953
3,Lasso(alpha=0.0032407818737512834),Lasso,Task Complexity,0.0032,0.2088018143601914
5,Lasso(alpha=0.012167665353717865),Lasso,Team Composition + Task Complexity,0.0122,0.20075212125594122
4,Ridge(alpha=0.012167665353717865),Ridge,Team Composition + Task Complexity,0.0122,0.19473950158776265
6,Lasso(alpha=0.20487687793680595),Lasso,Communication,0.2049,0.1115564521173883
8,Lasso(alpha=0.20487687793680595),Lasso,Task Complexity + Communication,0.2049,0.1115564521173883
10,Lasso(alpha=0.20487687793680595),Lasso,All Features,0.2049,0.1115564521173883
1,Lasso(alpha=0.13027754413046966),Lasso,Team Composition,0.1303,-0.00716803111099229
0,Ridge(alpha=0.13027754413046966),Ridge,Team Composition,0.1303,-0.018901523791327035
11,Ridge(alpha=0.20487687793680595),Ridge,All Features,0.2049,-0.8303748469570498
9,Ridge(alpha=0.20487687793680595),Ridge,Task Complexity + Communication,0.2049,-0.9631294644551709
7,Ridge(alpha=0.20487687793680595),Ridge,Communication,0.2049,-1.1233033141940116
