conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies_lexical_per_100,average_hear_lexical_per_100,average_home_lexical_per_100,average_conjunction_lexical_per_100,average_certainty_lexical_per_100,average_inclusive_lexical_per_100,average_bio_lexical_per_100,average_achievement_lexical_per_100,average_adverbs_lexical_per_100,average_anxiety_lexical_per_100,average_third_person_lexical_per_100,average_negation_lexical_per_100,average_swear_lexical_per_100,average_death_lexical_per_100,average_health_lexical_per_100,average_see_lexical_per_100,average_body_lexical_per_100,average_family_lexical_per_100,average_negative_affect_lexical_per_100,average_quantifier_lexical_per_100,average_positive_affect_lexical_per_100,average_insight_lexical_per_100,average_humans_lexical_per_100,average_present_tense_lexical_per_100,average_future_tense_lexical_per_100,average_past_tense_lexical_per_100,average_relative_lexical_per_100,average_sexual_lexical_per_100,average_inhibition_lexical_per_100,average_sadness_lexical_per_100,average_social_lexical_per_100,average_indefinite_pronoun_lexical_per_100,average_religion_lexical_per_100,average_work_lexical_per_100,average_money_lexical_per_100,average_causation_lexical_per_100,average_anger_lexical_per_100,average_first_person_singular_lexical_per_100,average_feel_lexical_per_100,average_tentativeness_lexical_per_100,average_exclusive_lexical_per_100,average_verbs_lexical_per_100,average_friends_lexical_per_100,average_article_lexical_per_100,average_argue_lexical_per_100,average_auxiliary_verbs_lexical_per_100,average_cognitive_mech_lexical_per_100,average_preposition_lexical_per_100,average_first_person_plural_lexical_per_100,average_percept_lexical_per_100,average_second_person_lexical_per_100,average_positive_words_lexical_per_100,average_first_person_lexical_per_100,average_nltk_english_stopwords_lexical_per_100,average_hedge_words_lexical_per_100,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_mimicry_bert,average_moving_mimicry,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_time_diff,average_please,average_please_start,average_hashedge,average_indirect_btw,average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_greeting,average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,average_forward_flow,average_certainty_rocklage,sum_positive_bert,sum_negative_bert,sum_neutral_bert,sum_num_words,sum_num_chars,sum_num_messages,sum_info_exchange_zscore_chats,sum_info_exchange_zscore_conversation,sum_discrepancies_lexical_per_100,sum_hear_lexical_per_100,sum_home_lexical_per_100,sum_conjunction_lexical_per_100,sum_certainty_lexical_per_100,sum_inclusive_lexical_per_100,sum_bio_lexical_per_100,sum_achievement_lexical_per_100,sum_adverbs_lexical_per_100,sum_anxiety_lexical_per_100,sum_third_person_lexical_per_100,sum_negation_lexical_per_100,sum_swear_lexical_per_100,sum_death_lexical_per_100,sum_health_lexical_per_100,sum_see_lexical_per_100,sum_body_lexical_per_100,sum_family_lexical_per_100,sum_negative_affect_lexical_per_100,sum_quantifier_lexical_per_100,sum_positive_affect_lexical_per_100,sum_insight_lexical_per_100,sum_humans_lexical_per_100,sum_present_tense_lexical_per_100,sum_future_tense_lexical_per_100,sum_past_tense_lexical_per_100,sum_relative_lexical_per_100,sum_sexual_lexical_per_100,sum_inhibition_lexical_per_100,sum_sadness_lexical_per_100,sum_social_lexical_per_100,sum_indefinite_pronoun_lexical_per_100,sum_religion_lexical_per_100,sum_work_lexical_per_100,sum_money_lexical_per_100,sum_causation_lexical_per_100,sum_anger_lexical_per_100,sum_first_person_singular_lexical_per_100,sum_feel_lexical_per_100,sum_tentativeness_lexical_per_100,sum_exclusive_lexical_per_100,sum_verbs_lexical_per_100,sum_friends_lexical_per_100,sum_article_lexical_per_100,sum_argue_lexical_per_100,sum_auxiliary_verbs_lexical_per_100,sum_cognitive_mech_lexical_per_100,sum_preposition_lexical_per_100,sum_first_person_plural_lexical_per_100,sum_percept_lexical_per_100,sum_second_person_lexical_per_100,sum_positive_words_lexical_per_100,sum_first_person_lexical_per_100,sum_nltk_english_stopwords_lexical_per_100,sum_hedge_words_lexical_per_100,sum_num_question_naive,sum_NTRI,sum_word_TTR,sum_first_pronouns_proportion,sum_function_word_accommodation,sum_content_word_accommodation,sum_mimicry_bert,sum_moving_mimicry,sum_hedge_naive,sum_textblob_subjectivity,sum_textblob_polarity,sum_positivity_zscore_chats,sum_positivity_zscore_conversation,sum_dale_chall_score,sum_time_diff,sum_please,sum_please_start,sum_hashedge,sum_indirect_btw,sum_hedges,sum_factuality,sum_deference,sum_gratitude,sum_apologizing,sum_1st_person_pl,sum_1st_person,sum_1st_person_start,sum_2nd_person,sum_2nd_person_start,sum_indirect_greeting,sum_direct_question,sum_direct_start,sum_haspositive,sum_hasnegative,sum_subjunctive,sum_indicative,sum_forward_flow,sum_certainty_rocklage,user_list
01HP1Y7T38P7KHDBVR7WBR0E2Y,01HP1Y0BYZYCH5G71KXY7GEEQ1,0.3118660072,0.12209507,0.566038914,8.4,42.0,1.0,0.2821879988138197,0.12423360973776601,0.0020000000000000005,0.004000000000000001,0.0,0.004000000000000001,0.006,0.004000000000000001,0.0,0.0019999999999999996,0.0019999999999999996,0.0,0.0,0.003999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019999999999999996,0.014000000000000002,0.0019999999999999996,0.0,0.01,0.0,0.004000000000000001,0.0019999999999999996,0.0,0.0,0.0,0.016000000000000004,0.01,0.0,0.002,0.0,0.0019999999999999996,0.0,0.0,0.0,0.0020000000000000005,0.004,0.014000000000000002,0.0,0.004000000000000001,0.004,0.01,0.016,0.008,0.006,0.004000000000000001,0.0,0.003999999999999999,0.006,0.048,0.0,0.2,0.0,0.9761403508771929,0.06385964912280702,0.8,0.012698412698412698,0.17910340227619354,0.36764539468625024,0.0,0.33,0.49000000000000005,0.027018967323258324,0.01600180072062094,1.7755400000000001,7.591199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.243588629515222,6.226,1.559330036,0.61047535,2.8301945699999997,42,210,5,1.4109399940690983,0.62116804868883,0.010000000000000002,0.020000000000000004,0.0,0.020000000000000004,0.03,0.020000000000000004,0.0,0.009999999999999998,0.009999999999999998,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.07,0.009999999999999998,0.0,0.05,0.0,0.020000000000000004,0.009999999999999998,0.0,0.0,0.0,0.08000000000000002,0.05,0.0,0.01,0.0,0.009999999999999998,0.0,0.0,0.0,0.010000000000000002,0.02,0.07,0.0,0.020000000000000004,0.02,0.05,0.08,0.04,0.03,0.020000000000000004,0.0,0.019999999999999997,0.03,0.24,0.0,1,0,4.8807017543859645,0.3192982456140351,4,0.06349206349206349,0.8955170113809677,1.838226973431251,0,1.6500000000000001,2.45,0.13509483661629162,0.0800090036031047,8.8777,37.955999999999996,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,1.21794314757611,31.13,['01HP1Y0EH6DCFSKNN4MJYDQQ86' '01HP1Y14RXGH16Q1C18Y0XEX28']
01HP1Y7T38P7KHDBVR7WBR0E2Y,01HP1Y0EH6DCFSKNN4MJYDQQ86,0.401467745,0.046173041399999996,0.552359264,6.2,29.6,1.0,-0.1588363586137668,-0.32948913886972747,0.004,0.0,0.0,0.002,0.002,0.01,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000005,0.008,0.0,0.0,0.004000000000000001,0.004000000000000001,0.0,0.002,0.0,0.0,0.0,0.014000000000000002,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.008000000000000002,0.0,0.004,0.002,0.004000000000000001,0.018000000000000002,0.006,0.01,0.0,0.0,0.0,0.01,0.032,0.0,0.0,0.0,0.9547619047619047,0.09523809523809523,1.0,0.014285714285714285,0.45239070555820593,0.5325886469314774,0.0,0.0,0.0,0.36793828211705926,0.36956466335562904,1.4859628571428571,9.5444,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4263077799688794,5.8,2.007338725,0.230865207,2.76179632,31,148,5,-0.794181793068834,-1.6474456943486373,0.02,0.0,0.0,0.01,0.01,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.04,0.0,0.0,0.020000000000000004,0.020000000000000004,0.0,0.01,0.0,0.0,0.0,0.07,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04000000000000001,0.0,0.02,0.01,0.020000000000000004,0.09000000000000001,0.03,0.05,0.0,0.0,0.0,0.05,0.16,0.0,0,0,4.773809523809524,0.47619047619047616,5,0.07142857142857142,2.2619535277910297,2.662943234657387,0,0.0,0.0,1.8396914105852962,1.8478233167781453,7.4298142857142855,47.722,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2.131538899844397,29.0,['01HP1Y0BYZYCH5G71KXY7GEEQ1' '01HP1Y14RXGH16Q1C18Y0XEX28']
01HP1Y7T38P7KHDBVR7WBR0E2Y,01HP1Y14RXGH16Q1C18Y0XEX28,0.18567042675,0.14098799925,0.673341575,9.75,43.25,1.0,0.41082010306353245,0.2565694114149516,0.0025,0.0,0.0,0.01,0.004999999999999999,0.01,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.009999999999999998,0.0,0.0,0.012499999999999999,0.0,0.0,0.0,0.015000000000000001,0.0025,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0075,0.009999999999999998,0.009999999999999998,0.0,0.005,0.009999999999999998,0.0024999999999999996,0.03,0.015000000000000001,0.0075,0.0,0.0,0.0,0.012499999999999999,0.052500000000000005,0.0,0.25,0.0,0.96875,0.09943181818181818,2.5,0.015873015873015872,0.48729860710170475,0.540137429566385,0.0,0.0,0.0,-0.45313367115626,-0.48195808009531205,0.4836,4.080749999999999,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5198189544083539,4.4799999999999995,0.742681707,0.563951997,2.6933663,39,173,4,1.6432804122541298,1.0262776456598064,0.01,0.0,0.0,0.04,0.019999999999999997,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.039999999999999994,0.0,0.0,0.049999999999999996,0.0,0.0,0.0,0.060000000000000005,0.01,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.03,0.039999999999999994,0.039999999999999994,0.0,0.02,0.039999999999999994,0.009999999999999998,0.12,0.060000000000000005,0.03,0.0,0.0,0.0,0.049999999999999996,0.21000000000000002,0.0,1,0,3.875,0.3977272727272727,10,0.06349206349206349,1.949194428406819,2.16054971826554,0,0.0,0.0,-1.81253468462504,-1.9278323203812482,1.9344,16.322999999999997,0,0,2,0,2,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,2.0792758176334156,17.919999999999998,['01HP1Y0BYZYCH5G71KXY7GEEQ1' '01HP1Y0EH6DCFSKNN4MJYDQQ86']
01HP1YAGDJ5BYYPNWKPEG7MJCC,01HP1Y2GGWDSNJ7M11PQ151BNQ,0.45688354144444443,0.08222252122222222,0.4608939588333333,6.111111111111111,28.555555555555557,1.0,-0.15066924088362635,0.18001588710308628,0.0011111111111111111,0.0011111111111111111,0.0,0.0044444444444444444,0.0044444444444444444,0.006666666666666667,0.0,0.003333333333333333,0.003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.0044444444444444444,0.0011111111111111111,0.0011111111111111111,0.006666666666666667,0.0,0.0011111111111111111,0.003333333333333333,0.0,0.0,0.0,0.007777777777777778,0.0044444444444444444,0.0,0.003333333333333333,0.0,0.0011111111111111111,0.0,0.0022222222222222222,0.0,0.0,0.0011111111111111111,0.007777777777777778,0.0,0.0022222222222222222,0.0044444444444444444,0.0044444444444444444,0.015555555555555557,0.005555555555555556,0.0044444444444444444,0.0011111111111111111,0.0011111111111111111,0.007777777777777778,0.006666666666666667,0.03333333333333334,0.0,0.1111111111111111,0.0,0.9861111111111112,0.0877946127946128,0.4444444444444444,0.0380952380952381,0.20641329844927964,0.38902191719741663,0.0,0.2736111111111111,0.20324074074074072,0.5787859265540711,0.4996970404510452,0.3031111111111111,7.1594444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.0,0.0,0.287020767717962,5.495555555555556,4.111951873,0.7400026909999999,4.148045629499999,55,257,9,-1.356023167952637,1.6201429839277766,0.01,0.01,0.0,0.04,0.04,0.060000000000000005,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.01,0.060000000000000005,0.0,0.01,0.03,0.0,0.0,0.0,0.07,0.04,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.07,0.0,0.02,0.04,0.04,0.14,0.05,0.04,0.01,0.01,0.07,0.060000000000000005,0.30000000000000004,0.0,1,0,8.875,0.7901515151515152,4,0.34285714285714286,1.8577196860435168,3.50119725477675,0,2.4625,1.8291666666666666,5.20907333898664,4.4972733640594065,2.7279999999999998,64.435,0,0,0,0,0,0,1,0,0,4,0,1,1,0,1,1,2,5,1,0,0,2.583186909461658,49.46,['01HP1Y44PWETRAEAH28ZWMVR4S' '01HP1Y1B6F37JW0WRHZHVR0J56']
01HP1YAGDJ5BYYPNWKPEG7MJCC,01HP1Y44PWETRAEAH28ZWMVR4S,0.235613866,0.0839655368,0.68042062,4.0,14.2,1.0,-0.41610056711319227,-0.22952025605643483,0.0,0.0,0.0,0.0019999999999999996,0.0,0.0019999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019999999999999996,0.007999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007999999999999998,0.0,0.0020000000000000005,0.003999999999999999,0.0,0.0019999999999999996,0.002,0.002,0.0,0.0,0.0,0.002,0.006,0.0,0.0,0.0,1.0,0.0,0.2,0.04516956162117452,0.5438322183732213,0.5025803051821562,0.0,0.0,0.0,-0.2631074115589175,-0.33424429391323407,0.1984,4.348799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.45816659073427585,4.5,1.17806933,0.41982768400000003,3.4021031,20,71,5,-2.0805028355659614,-1.1476012802821742,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.010000000000000002,0.019999999999999997,0.0,0.009999999999999998,0.01,0.01,0.0,0.0,0.0,0.01,0.03,0.0,0,0,5.0,0.0,1,0.2258478081058726,2.7191610918661064,2.5129015259107814,0,0.0,0.0,-1.3155370577945873,-1.6712214695661705,0.992,21.743999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.290832953671379,22.5,['01HP1Y2GGWDSNJ7M11PQ151BNQ' '01HP1Y1B6F37JW0WRHZHVR0J56']
01HP1YAGDJ5BYYPNWKPEG7MJCC,01HP1Y1B6F37JW0WRHZHVR0J56,0.2171794242857143,0.0860763802857143,0.6967442185714285,5.0,18.714285714285715,1.0,-0.3110947677256717,-0.06750595766365726,0.0,0.0,0.0,0.0071428571428571435,0.0014285714285714286,0.0071428571428571435,0.0,0.0,0.0071428571428571435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014285714285714286,0.004285714285714286,0.0014285714285714286,0.0,0.004285714285714286,0.0,0.0,0.002857142857142857,0.0,0.0,0.0,0.005714285714285714,0.0014285714285714286,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0014285714285714286,0.0,0.0,0.0,0.004285714285714286,0.0,0.0014285714285714286,0.005714285714285714,0.0014285714285714286,0.011428571428571429,0.004285714285714286,0.004285714285714286,0.0,0.0,0.002857142857142857,0.004285714285714286,0.024285714285714282,0.0,0.5714285714285714,0.0,0.9821428571428571,0.0623015873015873,0.5714285714285714,0.01098901098901099,0.33877398681789217,0.4874743125548587,0.0,0.17857142857142858,0.18571428571428572,-0.33324731500441235,-0.4037216992133192,0.24799999999999997,9.979714285714286,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.4209713921674278,4.515714285714286,1.52025597,0.602534662,4.87720953,35,131,7,-2.177663374079702,-0.4725417036456008,0.0,0.0,0.0,0.05,0.01,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.01,0.04,0.01,0.08,0.03,0.03,0.0,0.0,0.02,0.03,0.16999999999999998,0.0,4,0,6.875,0.4361111111111111,4,0.07692307692307693,2.3714179077252453,3.412320187884011,0,1.25,1.3,-2.3327312050308864,-2.8260518944932342,1.7359999999999998,69.858,0,0,1,0,1,0,1,0,0,3,0,1,0,0,1,1,2,1,1,0,0,2.9467997451719947,31.61,['01HP1Y2GGWDSNJ7M11PQ151BNQ' '01HP1Y44PWETRAEAH28ZWMVR4S']
01HP1Y5Q4G5E4Q90871HF94NW5,01HP1XZ38YXR8CFE6N5CXPT0AM,0.14475572472727272,0.05479825163636364,0.8004460136363637,7.545454545454546,32.54545454545455,1.0,0.16859081584004745,0.512606363727913,0.0027272727272727275,0.0,0.0,0.0036363636363636364,0.0036363636363636364,0.00818181818181818,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0,0.004545454545454546,0.0036363636363636364,0.0009090909090909091,0.0,0.007272727272727273,0.0036363636363636364,0.0009090909090909091,0.005454545454545454,0.0,0.0,0.0,0.009090909090909092,0.005454545454545454,0.0,0.0,0.0,0.0,0.0,0.0009090909090909091,0.0009090909090909091,0.0018181818181818182,0.0,0.01363636363636364,0.0,0.0036363636363636364,0.0,0.012727272727272728,0.018181818181818184,0.010909090909090908,0.006363636363636364,0.0009090909090909091,0.0009090909090909091,0.0036363636363636364,0.005454545454545454,0.04454545454545455,0.0,0.2727272727272727,0.0,0.9859307359307359,0.04415584415584416,0.2727272727272727,0.010013175230566536,0.232161516850288,0.3509697684433956,0.0,0.26161616161616164,0.08585858585858586,-0.6088071270630575,-0.4755221180605329,0.3742545454545454,20.42518181818182,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.36363636363636365,0.0,0.0,0.39303639426299236,5.220909090909091,1.592312972,0.602780768,8.80490615,83,358,11,1.854498974240522,5.638670001007043,0.030000000000000002,0.0,0.0,0.04,0.04,0.09,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.04,0.01,0.0,0.08,0.04,0.01,0.06,0.0,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.15000000000000002,0.0,0.04,0.0,0.14,0.2,0.12,0.07,0.01,0.01,0.04,0.06,0.49,0.0,3,0,10.845238095238095,0.4857142857142857,3,0.11014492753623188,2.553776685353168,3.8606674528773515,0,2.8777777777777778,0.9444444444444444,-6.696878397693633,-5.230743298665862,4.1168,224.67700000000002,0,0,3,0,1,0,0,0,0,7,0,1,1,0,1,0,0,2,4,0,0,4.323400336892916,57.43,['01HP1XZW42YSR4RYDP9DH525MC' '01HP1XZSSB5GMC46S75JD8M01D']
01HP1Y5Q4G5E4Q90871HF94NW5,01HP1XZW42YSR4RYDP9DH525MC,0.2956876691111111,0.10537445344444445,0.5989378766666666,3.6666666666666665,15.666666666666666,1.0,-0.477353950089246,-0.44884935331399334,0.0,0.0,0.0,0.0011111111111111111,0.0011111111111111111,0.002222222222222222,0.0,0.0,0.0011111111111111111,0.0,0.0,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.002222222222222222,0.0011111111111111111,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.003333333333333333,0.002222222222222222,0.0,0.0,0.0,0.0,0.0,0.001111111111111111,0.0,0.0011111111111111111,0.0011111111111111111,0.006666666666666666,0.0,0.0,0.002222222222222222,0.005555555555555556,0.005555555555555556,0.003333333333333333,0.0011111111111111111,0.0,0.0011111111111111111,0.002222222222222222,0.001111111111111111,0.012222222222222223,0.0,0.2222222222222222,0.0,0.9907407407407407,0.0,0.4444444444444444,0.011728395061728396,0.3281474201085606,0.43545875637094866,0.0,0.1388888888888889,0.12962962962962965,-0.0345368470079059,0.3601055862116544,0.18186666666666668,11.572888888888887,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.4406299064985159,4.771111111111111,2.661189022,0.948370081,5.39044089,33,141,9,-4.296185550803214,-4.03964417982594,0.0,0.0,0.0,0.01,0.01,0.019999999999999997,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.019999999999999997,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.01,0.01,0.06,0.0,0.0,0.019999999999999997,0.05,0.05,0.03,0.01,0.0,0.01,0.019999999999999997,0.009999999999999998,0.11,0.0,2,0,8.916666666666666,0.0,4,0.10555555555555556,2.9533267809770454,3.919128807338538,0,1.25,1.1666666666666667,-0.3108316230711531,3.2409502759048894,1.6368,104.15599999999998,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,2,3,0,0,3.965669158486643,42.94,['01HP1XZ38YXR8CFE6N5CXPT0AM' '01HP1XZSSB5GMC46S75JD8M01D']
01HP1Y5Q4G5E4Q90871HF94NW5,01HP1XZSSB5GMC46S75JD8M01D,0.29054477116666666,0.13981268,0.5696425533333334,4.5,20.0,1.0,-0.3548471841371386,-0.2665043035301835,0.0,0.0,0.0,0.0,0.0,0.0033333333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333327,0.006666666666666667,0.0016666666666666668,0.0,0.0033333333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,0.0,0.0,0.0016666666666666663,0.0,0.0016666666666666668,0.0,0.0033333333333333327,0.0,0.0016666666666666668,0.0016666666666666663,0.0033333333333333327,0.006666666666666667,0.006666666666666667,0.0016666666666666663,0.0,0.0016666666666666668,0.0033333333333333327,0.0016666666666666663,0.02,0.0016666666666666668,0.16666666666666666,0.0,1.0,0.05555555555555555,1.0,0.04351851851851852,0.5323257714673014,0.45942944940224345,0.16666666666666666,0.4666666666666666,0.3833333333333333,-0.05410469564927948,0.3316321704601614,0.22319999999999998,10.204499999999996,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5108848988116813,4.398333333333333,1.743268627,0.83887608,3.41785532,27,120,6,-2.129083104822832,-1.599025821181101,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.04,0.01,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.01,0.01,0.0,0.0,0.009999999999999998,0.0,0.01,0.0,0.019999999999999997,0.0,0.01,0.009999999999999998,0.019999999999999997,0.04,0.04,0.009999999999999998,0.0,0.01,0.019999999999999997,0.009999999999999998,0.12,0.01,1,0,6.0,0.3333333333333333,6,0.2611111111111111,3.1939546288038083,2.7565766964134606,1,2.8,2.3,-0.3246281738956769,1.9897930227609684,1.3392,61.226999999999975,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,3.065309392870088,26.39,['01HP1XZ38YXR8CFE6N5CXPT0AM' '01HP1XZW42YSR4RYDP9DH525MC']
